/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 163 | 배송 32/50 | 재적재 5 | 도착  37 | 2홉+ 0.64 | 도달  774 | 차단  844
Ep 164 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.67 | 도달  811 | 차단 1198
Ep 165 | 배송 32/50 | 재적재 5 | 도착  34 | 2홉+ 0.65 | 도달  802 | 차단  628
Ep 166 | 배송 37/50 | 재적재 5 | 도착  39 | 2홉+ 0.65 | 도달  781 | 차단  568
Ep 167 | 배송 42/50 | 재적재 7 | 도착  48 | 2홉+ 0.66 | 도달  820 | 차단  826
Ep 168 | 배송 36/50 | 재적재 5 | 도착  40 | 2홉+ 0.62 | 도달  793 | 차단  795
Ep 169 | 배송 38/50 | 재적재 5 | 도착  42 | 2홉+ 0.65 | 도달  805 | 차단  852
Ep 170 | 배송 37/50 | 재적재 5 | 도착  43 | 2홉+ 0.64 | 도달  867 | 차단 1094
Ep 171 | 배송 39/50 | 재적재 5 | 도착  44 | 2홉+ 0.57 | 도달  854 | 차단  637
Ep 172 | 배송 39/50 | 재적재 6 | 도착  45 | 2홉+ 0.64 | 도달  847 | 차단  891
Ep 173 | 배송 37/50 | 재적재 5 | 도착  40 | 2홉+ 0.59 | 도달  859 | 차단  616
Ep 174 | 배송 37/50 | 재적재 6 | 도착  41 | 2홉+ 0.60 | 도달  792 | 차단 1023
Ep 175 | 배송 41/50 | 재적재 7 | 도착  44 | 2홉+ 0.65 | 도달  888 | 차단  516
Ep 176 | 배송 32/50 | 재적재 4 | 도착  37 | 2홉+ 0.65 | 도달  924 | 차단 1139
Ep 177 | 배송 34/50 | 재적재 5 | 도착  38 | 2홉+ 0.60 | 도달  883 | 차단  772
Ep 178 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.65 | 도달  866 | 차단 1219
Ep 179 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.62 | 도달  928 | 차단  765
Ep 180 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.59 | 도달  849 | 차단  710
Ep 181 | 배송 37/50 | 재적재 6 | 도착  42 | 2홉+ 0.66 | 도달  891 | 차단  970
Ep 182 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.66 | 도달  899 | 차단  667
Ep 183 | 배송 45/50 | 재적재 7 | 도착  51 | 2홉+ 0.66 | 도달  886 | 차단  586
Ep 184 | 배송 38/50 | 재적재 6 | 도착  41 | 2홉+ 0.62 | 도달  832 | 차단  533
Ep 185 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.66 | 도달  790 | 차단  411
Ep 186 | 배송 31/50 | 재적재 4 | 도착  33 | 2홉+ 0.62 | 도달  778 | 차단  929
Ep 187 | 배송 36/50 | 재적재 6 | 도착  39 | 2홉+ 0.61 | 도달  817 | 차단  557
Ep 188 | 배송 39/50 | 재적재 5 | 도착  42 | 2홉+ 0.66 | 도달  832 | 차단  736
Ep 189 | 배송 43/50 | 재적재 6 | 도착  48 | 2홉+ 0.66 | 도달  971 | 차단  531
Ep 190 | 배송 36/50 | 재적재 5 | 도착  40 | 2홉+ 0.66 | 도달  878 | 차단 1121
Ep 191 | 배송 36/50 | 재적재 5 | 도착  40 | 2홉+ 0.67 | 도달  919 | 차단  714
Ep 192 | 배송 31/50 | 재적재 5 | 도착  34 | 2홉+ 0.60 | 도달  817 | 차단 1059
Ep 193 | 배송 38/50 | 재적재 6 | 도착  42 | 2홉+ 0.65 | 도달  905 | 차단  904
Ep 194 | 배송 40/50 | 재적재 6 | 도착  45 | 2홉+ 0.66 | 도달  810 | 차단  585
Ep 195 | 배송 28/50 | 재적재 3 | 도착  31 | 2홉+ 0.55 | 도달  850 | 차단  964
Ep 196 | 배송 26/50 | 재적재 4 | 도착  27 | 2홉+ 0.55 | 도달  769 | 차단  579
Ep 197 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.63 | 도달  894 | 차단  661
Ep 198 | 배송 35/50 | 재적재 5 | 도착  36 | 2홉+ 0.65 | 도달  837 | 차단 1113
Ep 199 | 배송 39/50 | 재적재 6 | 도착  44 | 2홉+ 0.62 | 도달  907 | 차단  833
Ep 200 | 배송 35/50 | 재적재 4 | 도착  35 | 2홉+ 0.65 | 도달  896 | 차단  845
  [홀드아웃] 배송 21.7±4.9 재적재 2.2 2홉+ 0.52 | 최고 21.7@ep200 정체 0/15  ← 갱신
Ep 201 | 배송 35/50 | 재적재 6 | 도착  38 | 2홉+ 0.67 | 도달  778 | 차단  708
Ep 202 | 배송 40/50 | 재적재 7 | 도착  47 | 2홉+ 0.65 | 도달  808 | 차단  672
Ep 203 | 배송 36/50 | 재적재 6 | 도착  40 | 2홉+ 0.60 | 도달 1004 | 차단  959
Ep 204 | 배송 27/50 | 재적재 3 | 도착  29 | 2홉+ 0.60 | 도달  795 | 차단 1248
Ep 205 | 배송 34/50 | 재적재 4 | 도착  38 | 2홉+ 0.60 | 도달  768 | 차단  813
Ep 206 | 배송 35/50 | 재적재 5 | 도착  38 | 2홉+ 0.65 | 도달  915 | 차단  970
Ep 207 | 배송 33/50 | 재적재 5 | 도착  39 | 2홉+ 0.65 | 도달  850 | 차단 1079
Ep 208 | 배송 33/50 | 재적재 4 | 도착  36 | 2홉+ 0.67 | 도달  985 | 차단  939
Ep 209 | 배송 42/50 | 재적재 7 | 도착  43 | 2홉+ 0.67 | 도달  911 | 차단  627
Ep 210 | 배송 40/50 | 재적재 6 | 도착  44 | 2홉+ 0.68 | 도달  920 | 차단  818
Ep 211 | 배송 39/50 | 재적재 6 | 도착  43 | 2홉+ 0.61 | 도달  932 | 차단  958
Ep 212 | 배송 29/50 | 재적재 3 | 도착  31 | 2홉+ 0.68 | 도달 1020 | 차단 1549
Ep 213 | 배송 38/50 | 재적재 6 | 도착  40 | 2홉+ 0.67 | 도달  801 | 차단  813
Ep 214 | 배송 40/50 | 재적재 6 | 도착  41 | 2홉+ 0.62 | 도달  901 | 차단  648
Ep 215 | 배송 33/50 | 재적재 5 | 도착  34 | 2홉+ 0.67 | 도달  900 | 차단 1000
Ep 216 | 배송 36/50 | 재적재 5 | 도착  39 | 2홉+ 0.65 | 도달  799 | 차단  691
Ep 217 | 배송 29/50 | 재적재 4 | 도착  32 | 2홉+ 0.59 | 도달  950 | 차단  999
Ep 218 | 배송 31/50 | 재적재 3 | 도착  34 | 2홉+ 0.67 | 도달  757 | 차단 1661
