/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=joint 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_worker.pth
상위 가중치 로드: weights/v3_26_08_31_19_m_hl20/best_manager.pth
Ep 197 | 배송 11/50 | 재적재 0 | 도착  51 | 2홉+ 0.17 | 도달  628 | 차단  200
Ep 198 | 배송  5/50 | 재적재 0 | 도착  79 | 2홉+ 0.00 | 도달  265 | 차단    0
Ep 199 | 배송  5/50 | 재적재 0 | 도착  64 | 2홉+ 0.00 | 도달  243 | 차단    0
Ep 200 | 배송  4/50 | 재적재 0 | 도착  22 | 2홉+ 0.00 | 도달  260 | 차단    0
  [홀드아웃] 배송 1.6±1.8 재적재 0.0 2홉+ 0.03 | 최고 19.7@ep50 정체 3/15
Ep 201 | 배송  5/50 | 재적재 0 | 도착 108 | 2홉+ 0.02 | 도달  453 | 차단   85
Ep 202 | 배송  4/50 | 재적재 0 | 도착  13 | 2홉+ 0.00 | 도달  242 | 차단    0
Ep 203 | 배송  6/50 | 재적재 0 | 도착 249 | 2홉+ 0.00 | 도달  283 | 차단    0
Ep 204 | 배송  5/50 | 재적재 0 | 도착  71 | 2홉+ 0.00 | 도달  229 | 차단    0
Ep 205 | 배송  4/50 | 재적재 0 | 도착  38 | 2홉+ 0.00 | 도달  375 | 차단    0
Ep 206 | 배송  5/50 | 재적재 0 | 도착  80 | 2홉+ 0.00 | 도달  260 | 차단    0
Ep 207 | 배송  5/50 | 재적재 0 | 도착 196 | 2홉+ 0.00 | 도달  242 | 차단    0
Ep 208 | 배송  6/50 | 재적재 0 | 도착   9 | 2홉+ 0.01 | 도달  387 | 차단    1
Ep 209 | 배송  5/50 | 재적재 0 | 도착 186 | 2홉+ 0.00 | 도달  206 | 차단    0
Ep 210 | 배송  5/50 | 재적재 0 | 도착 194 | 2홉+ 0.00 | 도달  247 | 차단    0
Ep 211 | 배송  4/50 | 재적재 0 | 도착  50 | 2홉+ 0.00 | 도달  211 | 차단    0
Ep 212 | 배송  6/50 | 재적재 0 | 도착 318 | 2홉+ 0.00 | 도달  307 | 차단    0
Ep 213 | 배송  6/50 | 재적재 0 | 도착 110 | 2홉+ 0.00 | 도달  316 | 차단    0
