episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
165,1000,360.0,2.381,28,,932,0,4,31,698,0.4685,676.7,,,0,165000,1249.5
166,1000,460.0,13.582,35,,992,0,5,42,629,0.6442,776.7,,,0,166000,1256.4
167,1000,430.0,6.46,35,,867,0,4,41,878,0.6092,838.6,,,0,167000,1263.4
168,1000,450.0,7.249,34,,777,0,5,39,931,0.6122,779.4,,,0,168000,1270.6
169,1000,490.0,11.24,38,,984,0,5,44,788,0.6028,928.8,,,0,169000,1278.2
170,1000,350.0,-17.566,27,,945,0,4,30,1629,0.5885,757.7,,,0,170000,1285.3
171,1000,430.0,-9.059,35,,842,0,4,38,1567,0.6655,1055.9,,,0,171000,1292.5
172,1000,460.0,-3.888,35,,749,0,5,38,1286,0.6265,906.6,,,0,172000,1299.7
173,1000,340.0,-23.78,29,,920,0,3,34,1740,0.655,763.7,,,0,173000,1307.4
174,1000,470.0,11.342,33,,847,0,6,40,758,0.6358,829.9,,,0,174000,1314.7
175,1000,520.0,8.76,38,,878,0,6,45,995,0.6378,997.2,,,0,175000,1321.7
176,1000,320.0,-23.771,27,,790,0,3,30,1713,0.6132,857.2,,,0,176000,1328.9
177,1000,470.0,2.481,33,,996,0,6,39,1138,0.6352,763.4,,,0,177000,1336.1
178,1000,420.0,-4.293,31,,817,0,5,36,1278,0.5907,783.9,,,0,178000,1344.0
179,1000,320.0,-19.276,27,,664,0,3,29,1569,0.6583,992.8,,,0,179000,1351.5
180,1000,260.0,-11.66,21,,905,0,3,24,1015,0.6633,733.4,,,0,180000,1358.9
181,1000,530.0,8.111,39,,990,0,6,43,931,0.6485,929.3,,,0,181000,1366.2
182,1000,500.0,9.871,36,,999,0,6,39,781,0.6312,844.3,,,0,182000,1374.0
183,1000,530.0,14.637,39,,959,0,6,45,770,0.5948,872.1,,,0,183000,1381.4
184,1000,460.0,9.374,35,,991,0,5,38,687,0.6202,744.5,,,0,184000,1388.9
185,1000,390.0,-9.346,31,,663,0,4,35,1421,0.6245,1046.4,,,0,185000,1396.2
186,1000,410.0,-0.818,33,,891,0,4,37,1011,0.6355,939.9,,,0,186000,1404.1
187,1000,420.0,7.181,34,,820,0,4,39,703,0.572,781.7,,,0,187000,1411.3
188,1000,540.0,17.237,40,,948,0,6,48,770,0.6395,921.5,,,0,188000,1418.8
189,1000,500.0,15.063,39,,981,0,5,47,663,0.62,832.1,,,0,189000,1426.1
190,1000,400.0,-16.215,32,,739,0,4,34,1745,0.6305,1050.2,,,0,190000,1433.7
191,1000,570.0,17.331,40,,901,0,7,48,892,0.619,856.5,,,0,191000,1441.5
192,1000,430.0,-5.459,32,,861,0,5,35,1092,0.6605,768.5,,,0,192000,1449.1
193,1000,530.0,11.53,39,,928,0,6,42,753,0.6355,992.8,,,0,193000,1456.6
194,1000,380.0,-8.794,30,,833,0,4,31,1235,0.6302,920.1,,,0,194000,1463.9
195,1000,410.0,1.272,33,,968,0,4,39,982,0.5655,947.8,,,0,195000,1471.6
196,1000,400.0,-18.542,32,,935,0,4,34,1588,0.6345,893.9,,,0,196000,1479.1
197,1000,420.0,4.407,34,,955,0,4,39,746,0.5935,864.0,,,0,197000,1486.3
198,1000,400.0,-11.865,32,,918,0,4,36,1454,0.6597,845.2,,,0,198000,1494.5
199,1000,430.0,0.341,35,,983,0,4,40,1059,0.6438,899.2,,,0,199000,1502.1
200,1000,530.0,13.797,39,,998,0,6,45,695,0.6322,960.5,,,0,200000,1510.0
201,1000,500.0,10.477,36,,929,0,6,38,790,0.6298,876.0,,,0,201000,1536.1
202,1000,510.0,7.851,40,,925,0,5,45,953,0.639,925.6,,,0,202000,1543.4
203,1000,360.0,-0.529,28,,564,0,4,34,774,0.5567,805.2,,,0,203000,1550.6
204,1000,400.0,4.369,32,,695,0,4,33,580,0.6445,1001.4,,,0,204000,1558.1
