/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
Ep 1 | 배송  0/50 | 재적재 0 | 도착   0 | 2홉+ 0.21 | 도달  430 | 차단   16 | 정지 0.00 최장   0
Ep 106 | 배송 34/50 | 재적재 4 | 도착  37 | 2홉+ 0.66 | 도달  796 | 차단 1326 | 정지 0.38 최장   4
Ep 107 | 배송 40/50 | 재적재 7 | 도착  48 | 2홉+ 0.59 | 도달 1016 | 차단  574 | 정지 0.24 최장   4
Ep 108 | 배송 31/50 | 재적재 4 | 도착  35 | 2홉+ 0.59 | 도달  759 | 차단  995 | 정지 0.30 최장  26
Ep 109 | 배송 29/50 | 재적재 5 | 도착  32 | 2홉+ 0.52 | 도달  738 | 차단  707 | 정지 0.17 최장   2
Ep 110 | 배송 21/50 | 재적재 3 | 도착  25 | 2홉+ 0.44 | 도달  570 | 차단  882 | 정지 0.32 최장   2
Ep 111 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.66 | 도달  853 | 차단 1256 | 정지 0.65 최장   4
Ep 112 | 배송 29/50 | 재적재 5 | 도착  34 | 2홉+ 0.56 | 도달  732 | 차단 1170 | 정지 0.15 최장   7
Ep 113 | 배송 39/50 | 재적재 6 | 도착  47 | 2홉+ 0.64 | 도달  901 | 차단 1117 | 정지 0.83 최장  10
Ep 114 | 배송 30/50 | 재적재 3 | 도착  34 | 2홉+ 0.67 | 도달  751 | 차단 1435 | 정지 0.65 최장   4
Ep 115 | 배송 35/50 | 재적재 6 | 도착  40 | 2홉+ 0.56 | 도달  760 | 차단  818 | 정지 0.17 최장   6
Ep 116 | 배송 33/50 | 재적재 4 | 도착  38 | 2홉+ 0.65 | 도달  817 | 차단 1035 | 정지 0.21 최장   8
Ep 117 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.59 | 도달  880 | 차단  624 | 정지 0.45 최장   3
Ep 118 | 배송 33/50 | 재적재 4 | 도착  38 | 2홉+ 0.61 | 도달  881 | 차단 1225 | 정지 0.81 최장   4
Ep 119 | 배송 24/50 | 재적재 3 | 도착  27 | 2홉+ 0.60 | 도달  636 | 차단 1132 | 정지 0.70 최장   3
Ep 120 | 배송 31/50 | 재적재 4 | 도착  38 | 2홉+ 0.65 | 도달  788 | 차단  725 | 정지 0.13 최장   6
Ep 121 | 배송 32/50 | 재적재 4 | 도착  37 | 2홉+ 0.63 | 도달  830 | 차단 1069 | 정지 0.41 최장   3
Ep 122 | 배송 39/50 | 재적재 6 | 도착  46 | 2홉+ 0.63 | 도달  884 | 차단  810 | 정지 0.40 최장   8
Ep 123 | 배송 34/50 | 재적재 6 | 도착  40 | 2홉+ 0.56 | 도달  802 | 차단 1080 | 정지 0.69 최장   8
Ep 124 | 배송 40/50 | 재적재 7 | 도착  48 | 2홉+ 0.62 | 도달  842 | 차단  595 | 정지 0.29 최장   4
Ep 125 | 배송 32/50 | 재적재 4 | 도착  34 | 2홉+ 0.67 | 도달  864 | 차단 1705 | 정지 0.26 최장  25
Ep 126 | 배송 29/50 | 재적재 4 | 도착  33 | 2홉+ 0.58 | 도달  827 | 차단 1471 | 정지 0.49 최장   7
Ep 127 | 배송 39/50 | 재적재 5 | 도착  46 | 2홉+ 0.63 | 도달  912 | 차단  935 | 정지 0.68 최장   6
Ep 128 | 배송 31/50 | 재적재 4 | 도착  36 | 2홉+ 0.59 | 도달  749 | 차단 1197 | 정지 0.51 최장   4
Ep 129 | 배송 27/50 | 재적재 4 | 도착  32 | 2홉+ 0.49 | 도달  684 | 차단 1584 | 정지 0.63 최장  12
Ep 130 | 배송 35/50 | 재적재 5 | 도착  40 | 2홉+ 0.54 | 도달  840 | 차단  953 | 정지 0.79 최장   7
Ep 131 | 배송 35/50 | 재적재 4 | 도착  39 | 2홉+ 0.66 | 도달  771 | 차단 1003 | 정지 0.11 최장   6
Ep 132 | 배송 28/50 | 재적재 5 | 도착  33 | 2홉+ 0.49 | 도달  701 | 차단  832 | 정지 0.00 최장   7
Ep 133 | 배송 37/50 | 재적재 5 | 도착  42 | 2홉+ 0.55 | 도달  825 | 차단  688 | 정지 0.47 최장   2
Ep 134 | 배송 35/50 | 재적재 6 | 도착  41 | 2홉+ 0.63 | 도달  853 | 차단  706 | 정지 0.04 최장   4
Ep 135 | 배송 33/50 | 재적재 5 | 도착  36 | 2홉+ 0.60 | 도달  837 | 차단  965 | 정지 0.23 최장   3
Ep 136 | 배송 31/50 | 재적재 5 | 도착  37 | 2홉+ 0.54 | 도달  898 | 차단  859 | 정지 0.35 최장   3
Ep 137 | 배송 34/50 | 재적재 4 | 도착  37 | 2홉+ 0.64 | 도달  909 | 차단 1351 | 정지 0.14 최장  25
Ep 138 | 배송 33/50 | 재적재 4 | 도착  37 | 2홉+ 0.53 | 도달  841 | 차단  742 | 정지 0.67 최장   6
Ep 139 | 배송 26/50 | 재적재 3 | 도착  28 | 2홉+ 0.69 | 도달  979 | 차단 2372 | 정지 0.93 최장  53
Ep 140 | 배송 26/50 | 재적재 4 | 도착  30 | 2홉+ 0.55 | 도달  833 | 차단 1374 | 정지 0.50 최장   6
Ep 141 | 배송 31/50 | 재적재 5 | 도착  37 | 2홉+ 0.62 | 도달  749 | 차단  988 | 정지 0.31 최장   3
Ep 142 | 배송 36/50 | 재적재 5 | 도착  38 | 2홉+ 0.61 | 도달  833 | 차단 1100 | 정지 0.10 최장  10
Ep 143 | 배송 36/50 | 재적재 7 | 도착  42 | 2홉+ 0.64 | 도달  805 | 차단  820 | 정지 0.03 최장   3
Ep 144 | 배송 37/50 | 재적재 5 | 도착  43 | 2홉+ 0.59 | 도달  862 | 차단  946 | 정지 0.21 최장   3
Ep 145 | 배송 40/50 | 재적재 6 | 도착  44 | 2홉+ 0.61 | 도달  884 | 차단  842 | 정지 0.07 최장   5
Ep 146 | 배송 40/50 | 재적재 6 | 도착  46 | 2홉+ 0.60 | 도달  968 | 차단  763 | 정지 0.31 최장   5
Ep 147 | 배송 40/50 | 재적재 7 | 도착  49 | 2홉+ 0.64 | 도달  915 | 차단  530 | 정지 0.04 최장   2
Ep 148 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.60 | 도달  875 | 차단 1001 | 정지 0.24 최장   5
Ep 149 | 배송 39/50 | 재적재 5 | 도착  44 | 2홉+ 0.61 | 도달  804 | 차단  976 | 정지 0.49 최장   7
Ep 150 | 배송 39/50 | 재적재 6 | 도착  47 | 2홉+ 0.60 | 도달  971 | 차단  584 | 정지 0.02 최장   2
  [홀드아웃] 배송 22.2±9.3 재적재 2.5 2홉+ 0.54 | 최고 22.3@ep100 정체 1/15
Ep 151 | 배송 37/50 | 재적재 5 | 도착  44 | 2홉+ 0.62 | 도달  937 | 차단 1026 | 정지 0.41 최장   6
Ep 152 | 배송 34/50 | 재적재 5 | 도착  38 | 2홉+ 0.59 | 도달  737 | 차단  700 | 정지 0.11 최장   2
Ep 153 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.63 | 도달  861 | 차단 1254 | 정지 0.47 최장   3
Ep 154 | 배송 30/50 | 재적재 4 | 도착  34 | 2홉+ 0.54 | 도달  773 | 차단 1156 | 정지 0.17 최장   7
Ep 155 | 배송 33/50 | 재적재 4 | 도착  38 | 2홉+ 0.67 | 도달  811 | 차단 1374 | 정지 0.97 최장  20
Ep 156 | 배송 40/50 | 재적재 6 | 도착  48 | 2홉+ 0.62 | 도달  863 | 차단  752 | 정지 0.01 최장   3
Ep 157 | 배송 32/50 | 재적재 5 | 도착  37 | 2홉+ 0.61 | 도달  757 | 차단  865 | 정지 0.02 최장  15
Ep 158 | 배송 29/50 | 재적재 4 | 도착  34 | 2홉+ 0.67 | 도달  924 | 차단  995 | 정지 0.54 최장   5
Ep 159 | 배송 25/50 | 재적재 2 | 도착  27 | 2홉+ 0.70 | 도달  890 | 차단 1745 | 정지 0.67 최장   9
