/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.6->0.15 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 80 | 드론3 목적지69 | 1000스텝 | 배송 60/69 | 재적재 11 | 중계율 0.18 | alpha 2.817 | step_limit
Ep 81 | 드론6 목적지47 |  487스텝 | 배송 47/47 | 재적재  7 | 중계율 0.16 | alpha 2.850 | complete
Ep 82 | 드론6 목적지69 |  693스텝 | 배송 69/69 | 재적재 13 | 중계율 0.19 | alpha 2.898 | complete
Ep 83 | 드론5 목적지31 |  605스텝 | 배송 31/31 | 재적재  3 | 중계율 0.27 | alpha 2.941 | complete
Ep 84 | 드론3 목적지33 |  682스텝 | 배송 33/33 | 재적재  5 | 중계율 0.20 | alpha 2.976 | complete
Ep 85 | 드론4 목적지38 |  522스텝 | 배송 38/38 | 재적재  6 | 중계율 0.13 | alpha 3.003 | complete
Ep 86 | 드론6 목적지24 |  238스텝 | 배송 24/24 | 재적재  1 | 중계율 0.21 | alpha 3.011 | complete
Ep 87 | 드론3 목적지30 |  884스텝 | 배송 30/30 | 재적재  4 | 중계율 0.27 | alpha 3.036 | complete
Ep 88 | 드론4 목적지38 |  774스텝 | 배송 38/38 | 재적재  6 | 중계율 0.21 | alpha 3.032 | complete
Ep 89 | 드론3 목적지57 | 1000스텝 | 배송 50/57 | 재적재  9 | 중계율 0.25 | alpha 3.015 | step_limit
