/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:282: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 103 | 드론8 목적지72 |  408스텝 | 배송 72/72 | 재적재 10 | 중계율 0.04 | alpha 1.267 | complete
Ep 104 | 드론3 목적지27 | 1000스텝 | 배송 21/27 | 재적재  3 | 중계율 0.16 | alpha 1.243 | step_limit
Ep 105 | 드론5 목적지63 |  837스텝 | 배송 63/63 | 재적재 11 | 중계율 0.07 | alpha 1.221 | complete
Ep 106 | 드론6 목적지58 |  400스텝 | 배송 58/58 | 재적재  8 | 중계율 0.04 | alpha 1.216 | complete
Ep 107 | 드론7 목적지75 |  694스텝 | 배송 75/75 | 재적재 12 | 중계율 0.08 | alpha 1.181 | complete
Ep 108 | 드론5 목적지55 |  972스텝 | 배송 55/55 | 재적재  9 | 중계율 0.10 | alpha 1.202 | complete
Ep 109 | 드론6 목적지64 |  785스텝 | 배송 64/64 | 재적재 11 | 중계율 0.12 | alpha 1.218 | complete
Ep 110 | 드론5 목적지55 |  517스텝 | 배송 55/55 | 재적재  9 | 중계율 0.04 | alpha 1.214 | complete
Ep 111 | 드론6 목적지67 | 1000스텝 | 배송 65/67 | 재적재 11 | 중계율 0.12 | alpha 1.188 | step_limit
Ep 112 | 드론4 목적지46 | 1000스텝 | 배송 43/46 | 재적재  6 | 중계율 0.11 | alpha 1.188 | step_limit
Ep 113 | 드론6 목적지43 |  543스텝 | 배송 43/43 | 재적재  7 | 중계율 0.05 | alpha 1.174 | complete
Ep 114 | 드론4 목적지80 | 1000스텝 | 배송 58/80 | 재적재 11 | 중계율 0.06 | alpha 1.156 | step_limit
Ep 115 | 드론7 목적지78 |  860스텝 | 배송 78/78 | 재적재 13 | 중계율 0.05 | alpha 1.137 | complete
Ep 116 | 드론7 목적지72 |  468스텝 | 배송 72/72 | 재적재 11 | 중계율 0.05 | alpha 1.142 | complete
Ep 117 | 드론4 목적지54 |  966스텝 | 배송 54/54 | 재적재  9 | 중계율 0.09 | alpha 1.200 | complete
Ep 118 | 드론3 목적지63 | 1000스텝 | 배송 45/63 | 재적재  8 | 중계율 0.12 | alpha 1.195 | step_limit
Ep 119 | 드론7 목적지66 |  897스텝 | 배송 66/66 | 재적재 11 | 중계율 0.05 | alpha 1.183 | complete
Ep 120 | 드론7 목적지70 |  636스텝 | 배송 70/70 | 재적재 11 | 중계율 0.04 | alpha 1.167 | complete
Ep 121 | 드론7 목적지45 |  477스텝 | 배송 45/45 | 재적재  7 | 중계율 0.03 | alpha 1.150 | complete
Ep 122 | 드론6 목적지26 |  341스텝 | 배송 26/26 | 재적재  2 | 중계율 0.06 | alpha 1.138 | complete
