/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=500 (초반 300ep까지 500) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02 인스턴스=무작위 목표유지=off 하위=직진
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 207 |  1000스텝 | 배송 41/50 | 재적재  7 | 정지 0.40 교착최장  40 | step_limit
Ep 208 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.49 교착최장 258 | step_limit
Ep 209 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.62 교착최장 159 | step_limit
Ep 210 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.60 교착최장  93 | step_limit
Ep 211 |  1000스텝 | 배송 28/50 | 재적재  3 | 정지 0.67 교착최장 418 | step_limit
Ep 212 |  1000스텝 | 배송 47/50 | 재적재  8 | 정지 0.38 교착최장  43 | step_limit
Ep 213 |   979스텝 | 배송 25/50 | 재적재  2 | 정지 0.71 교착최장 498 | no_progress
Ep 214 |   952스텝 | 배송 32/50 | 재적재  5 | 정지 0.60 교착최장 384 | no_progress
Ep 215 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.44 교착최장  76 | step_limit
Ep 216 |   852스텝 | 배송 22/50 | 재적재  3 | 정지 0.72 교착최장 490 | no_progress
Ep 217 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.47 교착최장 107 | step_limit
Ep 218 |   691스텝 | 배송 18/50 | 재적재  2 | 정지 0.77 교착최장 387 | no_progress
Ep 219 |  1000스텝 | 배송 42/50 | 재적재  7 | 정지 0.43 교착최장  30 | step_limit
Ep 220 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.59 교착최장 205 | step_limit
