/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.02
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 158 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.77 교착최장 185 | step_limit
Ep 159 |  1000스텝 | 배송 26/50 | 재적재  2 | 정지 0.83 교착최장 337 | step_limit
Ep 160 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.71 교착최장 208 | step_limit
Ep 161 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.78 교착최장 387 | step_limit
Ep 162 |  1000스텝 | 배송 32/50 | 재적재  4 | 정지 0.73 교착최장 171 | step_limit
Ep 163 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.80 교착최장 487 | step_limit
Ep 164 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.78 교착최장 216 | step_limit
Ep 165 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.67 교착최장 109 | step_limit
Ep 166 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.66 교착최장  99 | step_limit
Ep 167 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.81 교착최장 374 | step_limit
Ep 168 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.58 교착최장  94 | step_limit
Ep 169 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.84 교착최장 712 | step_limit
Ep 170 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.82 교착최장 461 | step_limit
Ep 171 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.81 교착최장 400 | step_limit
Ep 172 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.81 교착최장 310 | step_limit
Ep 173 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.75 교착최장 313 | step_limit
Ep 174 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.81 교착최장 438 | step_limit
Ep 175 |  1000스텝 | 배송 24/50 | 재적재  3 | 정지 0.78 교착최장 277 | step_limit
Ep 176 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.80 교착최장 338 | step_limit
Ep 177 |  1000스텝 | 배송 18/50 | 재적재  1 | 정지 0.87 교착최장 274 | step_limit
Ep 178 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.75 교착최장 201 | step_limit
Ep 179 |  1000스텝 | 배송 21/50 | 재적재  4 | 정지 0.83 교착최장 480 | step_limit
Ep 180 |  1000스텝 | 배송 25/50 | 재적재  3 | 정지 0.84 교착최장 412 | step_limit
Ep 181 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.76 교착최장 333 | step_limit
Ep 182 |  1000스텝 | 배송 39/50 | 재적재  7 | 정지 0.62 교착최장 169 | step_limit
Ep 183 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.75 교착최장 215 | step_limit
Ep 184 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.72 교착최장 317 | step_limit
Ep 185 |  1000스텝 | 배송 20/50 | 재적재  2 | 정지 0.87 교착최장 775 | step_limit
Ep 186 |  1000스텝 | 배송 26/50 | 재적재  4 | 정지 0.82 교착최장 566 | step_limit
Ep 187 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.75 교착최장 313 | step_limit
Ep 188 |  1000스텝 | 배송 30/50 | 재적재  5 | 정지 0.71 교착최장 130 | step_limit
Ep 189 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.81 교착최장 170 | step_limit
Ep 190 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.77 교착최장 133 | step_limit
Ep 191 |  1000스텝 | 배송 30/50 | 재적재  4 | 정지 0.76 교착최장 307 | step_limit
Ep 192 |  1000스텝 | 배송 30/50 | 재적재  3 | 정지 0.79 교착최장 262 | step_limit
Ep 193 |  1000스텝 | 배송 27/50 | 재적재  4 | 정지 0.79 교착최장 332 | step_limit
Ep 194 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.73 교착최장 199 | step_limit
Ep 195 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.77 교착최장 209 | step_limit
Ep 196 |  1000스텝 | 배송 38/50 | 재적재  6 | 정지 0.68 교착최장 357 | step_limit
Ep 197 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.64 교착최장 150 | step_limit
Ep 198 |  1000스텝 | 배송 24/50 | 재적재  2 | 정지 0.85 교착최장 434 | step_limit
Ep 199 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.78 교착최장 464 | step_limit
Ep 200 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.72 교착최장 174 | step_limit
  [홀드아웃] 배송 32.2±8.2 재적재 4.5 2홉+ 0.62 | 최고 34.6@ep100 정체 2/15
