/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 6] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=0.0 잔여페널티=0.1 규칙관측=False 규칙정규화=2.0 막힘페널티=0.0 도달권shaping=0.0 정체전환보상=0.0 엔트로피비=0.15->-1.0 자기회귀=True 홀드아웃상한=3000 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:342: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 88 | 드론4 목적지38 |  987스텝 | 배송 37/38 | 재적재  5 | 중계율 0.32 | alpha 0.007 | no_progress
Ep 89 | 드론3 목적지57 | 1000스텝 | 배송 45/57 | 재적재  6 | 중계율 0.31 | alpha 0.007 | step_limit
Ep 90 | 드론6 목적지21 |  193스텝 | 배송 21/21 | 재적재  0 | 중계율 0.09 | alpha 0.006 | complete
Ep 91 | 드론6 목적지77 |  715스텝 | 배송 77/77 | 재적재 12 | 중계율 0.18 | alpha 0.006 | complete
Ep 92 | 드론4 목적지69 |  883스텝 | 배송 69/69 | 재적재 11 | 중계율 0.26 | alpha 0.006 | complete
Ep 93 | 드론6 목적지60 |  412스텝 | 배송 60/60 | 재적재  9 | 중계율 0.09 | alpha 0.006 | complete
Ep 94 | 드론6 목적지45 |  324스텝 | 배송 45/45 | 재적재  7 | 중계율 0.10 | alpha 0.005 | complete
Ep 95 | 드론4 목적지71 |  907스텝 | 배송 71/71 | 재적재 11 | 중계율 0.23 | alpha 0.005 | complete
Ep 96 | 드론3 목적지74 | 1000스텝 | 배송 64/74 | 재적재 10 | 중계율 0.27 | alpha 0.005 | step_limit
Ep 97 | 드론6 목적지47 |  329스텝 | 배송 47/47 | 재적재  8 | 중계율 0.12 | alpha 0.005 | complete
Ep 98 | 드론6 목적지50 |  582스텝 | 배송 50/50 | 재적재  9 | 중계율 0.17 | alpha 0.004 | complete
Ep 99 | 드론6 목적지35 |  346스텝 | 배송 35/35 | 재적재  4 | 중계율 0.17 | alpha 0.004 | complete
Ep 100 | 드론3 목적지40 |  700스텝 | 배송 40/40 | 재적재  6 | 중계율 0.20 | alpha 0.004 | complete
  [홀드아웃] 배송 48.4±4.8 완주 0.79 스텝 1127 점수 85.0 재적재 7.5 2홉+ 0.65 | 최고 87.9@ep50 정체 1/15
Ep 101 | 드론3 목적지23 |  543스텝 | 배송 23/23 | 재적재  2 | 중계율 0.19 | alpha 0.004 | complete
Ep 102 | 드론3 목적지21 |  433스텝 | 배송 21/21 | 재적재  2 | 중계율 0.21 | alpha 0.004 | complete
