/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=1000 교착한도=1000000000 무배송한도=1000000000 (초반 300ep까지 1000000000) gamma=0.997 미완료페널티=0.0 도달보너스=매스텝 중계정박=0.05
worker_obs=16 manager_obs=49 state=66 상위행동=7
하위 가중치 로드: weights/v4_26_09_14_03_w/best_worker.pth
Ep 1 |  1000스텝 | 배송 34/50 | 재적재  4 | 정지 0.47 교착최장  37 | step_limit
Ep 105 |  1000스텝 | 배송 30/50 | 재적재  5 | 정지 0.47 교착최장  36 | step_limit
Ep 106 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.28 교착최장  21 | step_limit
Ep 107 |  1000스텝 | 배송 39/50 | 재적재  6 | 정지 0.27 교착최장  32 | step_limit
Ep 108 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.36 교착최장  47 | step_limit
Ep 109 |  1000스텝 | 배송 34/50 | 재적재  5 | 정지 0.52 교착최장  95 | step_limit
Ep 110 |  1000스텝 | 배송 38/50 | 재적재  5 | 정지 0.33 교착최장  21 | step_limit
Ep 111 |  1000스텝 | 배송 32/50 | 재적재  6 | 정지 0.51 교착최장  80 | step_limit
Ep 112 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.37 교착최장  36 | step_limit
Ep 113 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.22 교착최장  16 | step_limit
Ep 114 |  1000스텝 | 배송 37/50 | 재적재  6 | 정지 0.23 교착최장  47 | step_limit
Ep 115 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.27 교착최장  26 | step_limit
Ep 116 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.30 교착최장  16 | step_limit
Ep 117 |  1000스텝 | 배송 35/50 | 재적재  4 | 정지 0.27 교착최장  30 | step_limit
Ep 118 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.38 교착최장  61 | step_limit
Ep 119 |  1000스텝 | 배송 32/50 | 재적재  5 | 정지 0.32 교착최장  37 | step_limit
Ep 120 |  1000스텝 | 배송 33/50 | 재적재  4 | 정지 0.35 교착최장  29 | step_limit
Ep 121 |  1000스텝 | 배송 33/50 | 재적재  5 | 정지 0.26 교착최장  19 | step_limit
Ep 122 |  1000스텝 | 배송 31/50 | 재적재  4 | 정지 0.28 교착최장  28 | step_limit
Ep 123 |  1000스텝 | 배송 29/50 | 재적재  4 | 정지 0.26 교착최장  36 | step_limit
Ep 124 |  1000스텝 | 배송 31/50 | 재적재  5 | 정지 0.22 교착최장  24 | step_limit
Ep 125 |  1000스텝 | 배송 28/50 | 재적재  5 | 정지 0.18 교착최장  26 | step_limit
Ep 126 |  1000스텝 | 배송 26/50 | 재적재  3 | 정지 0.32 교착최장  63 | step_limit
Ep 127 |  1000스텝 | 배송 35/50 | 재적재  5 | 정지 0.26 교착최장  18 | step_limit
Ep 128 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.29 교착최장  35 | step_limit
Ep 129 |  1000스텝 | 배송 30/50 | 재적재  5 | 정지 0.22 교착최장  10 | step_limit
Ep 130 |  1000스텝 | 배송 28/50 | 재적재  4 | 정지 0.37 교착최장 157 | step_limit
Ep 131 |  1000스텝 | 배송 27/50 | 재적재  3 | 정지 0.29 교착최장  42 | step_limit
