/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 98 | 배송 31/50 | 재적재 3 | 도착  15 | 2홉+ 0.62 | 도달  775 | 차단  493
Ep 99 | 배송 28/50 | 재적재 3 | 도착  17 | 2홉+ 0.65 | 도달  833 | 차단  413
Ep 100 | 배송 26/50 | 재적재 3 | 도착  16 | 2홉+ 0.64 | 도달  753 | 차단  666
  [홀드아웃] 배송 29.4±3.9 재적재 3.8 2홉+ 0.59 | 최고 29.4@ep100 정체 0/15  ← 갱신
Ep 101 | 배송 32/50 | 재적재 3 | 도착  17 | 2홉+ 0.63 | 도달  826 | 차단  488
Ep 102 | 배송 29/50 | 재적재 5 | 도착  21 | 2홉+ 0.59 | 도달  706 | 차단  273
Ep 103 | 배송 30/50 | 재적재 3 | 도착  17 | 2홉+ 0.63 | 도달  790 | 차단  602
Ep 104 | 배송 24/50 | 재적재 3 | 도착  17 | 2홉+ 0.55 | 도달  627 | 차단  241
Ep 105 | 배송 20/50 | 재적재 1 | 도착  11 | 2홉+ 0.59 | 도달  751 | 차단  963
Ep 106 | 배송 32/50 | 재적재 5 | 도착  25 | 2홉+ 0.62 | 도달  764 | 차단  475
Ep 107 | 배송 33/50 | 재적재 6 | 도착  16 | 2홉+ 0.52 | 도달  734 | 차단  487
Ep 108 | 배송 29/50 | 재적재 4 | 도착  15 | 2홉+ 0.62 | 도달  898 | 차단  390
Ep 109 | 배송 31/50 | 재적재 5 | 도착  18 | 2홉+ 0.57 | 도달  928 | 차단  372
Ep 110 | 배송 32/50 | 재적재 4 | 도착  16 | 2홉+ 0.61 | 도달  809 | 차단  511
Ep 111 | 배송 30/50 | 재적재 4 | 도착  21 | 2홉+ 0.63 | 도달  774 | 차단  545
Ep 112 | 배송 28/50 | 재적재 4 | 도착  12 | 2홉+ 0.59 | 도달  730 | 차단  183
Ep 113 | 배송 33/50 | 재적재 5 | 도착  23 | 2홉+ 0.59 | 도달  995 | 차단  621
Ep 114 | 배송 31/50 | 재적재 3 | 도착  14 | 2홉+ 0.65 | 도달 1006 | 차단  774
Ep 115 | 배송 28/50 | 재적재 3 | 도착  18 | 2홉+ 0.62 | 도달  735 | 차단  459
Ep 116 | 배송 29/50 | 재적재 4 | 도착  16 | 2홉+ 0.62 | 도달  975 | 차단  708
Ep 117 | 배송 29/50 | 재적재 4 | 도착  15 | 2홉+ 0.55 | 도달  981 | 차단  550
Ep 118 | 배송 30/50 | 재적재 3 | 도착  17 | 2홉+ 0.58 | 도달  803 | 차단  695
Ep 119 | 배송 33/50 | 재적재 4 | 도착  14 | 2홉+ 0.60 | 도달  858 | 차단  386
Ep 120 | 배송 32/50 | 재적재 3 | 도착  15 | 2홉+ 0.59 | 도달  863 | 차단  394
Ep 121 | 배송 26/50 | 재적재 3 | 도착  13 | 2홉+ 0.63 | 도달  752 | 차단  768
Ep 122 | 배송 30/50 | 재적재 3 | 도착  11 | 2홉+ 0.64 | 도달  896 | 차단  488
Ep 123 | 배송 24/50 | 재적재 4 | 도착  13 | 2홉+ 0.57 | 도달  796 | 차단  324
Ep 124 | 배송 28/50 | 재적재 4 | 도착  19 | 2홉+ 0.65 | 도달  861 | 차단  628
Ep 125 | 배송 31/50 | 재적재 5 | 도착  17 | 2홉+ 0.60 | 도달  982 | 차단  459
Ep 126 | 배송 29/50 | 재적재 3 | 도착  18 | 2홉+ 0.57 | 도달  901 | 차단  597
Ep 127 | 배송 27/50 | 재적재 2 | 도착   9 | 2홉+ 0.63 | 도달  983 | 차단 1152
Ep 128 | 배송 29/50 | 재적재 4 | 도착  23 | 2홉+ 0.53 | 도달  960 | 차단  611
Ep 129 | 배송 35/50 | 재적재 4 | 도착  17 | 2홉+ 0.61 | 도달  856 | 차단  481
Ep 130 | 배송 25/50 | 재적재 3 | 도착  16 | 2홉+ 0.48 | 도달  907 | 차단  378
Ep 131 | 배송 26/50 | 재적재 5 | 도착  19 | 2홉+ 0.58 | 도달  812 | 차단  417
Ep 132 | 배송 30/50 | 재적재 3 | 도착  13 | 2홉+ 0.63 | 도달  803 | 차단  597
Ep 133 | 배송 27/50 | 재적재 4 | 도착  16 | 2홉+ 0.56 | 도달  734 | 차단  428
Ep 134 | 배송 32/50 | 재적재 3 | 도착  18 | 2홉+ 0.66 | 도달  918 | 차단  501
Ep 135 | 배송 26/50 | 재적재 2 | 도착  18 | 2홉+ 0.65 | 도달  781 | 차단  593
Ep 136 | 배송 28/50 | 재적재 3 | 도착  17 | 2홉+ 0.64 | 도달  933 | 차단  854
Ep 137 | 배송 25/50 | 재적재 2 | 도착  16 | 2홉+ 0.62 | 도달  793 | 차단  461
Ep 138 | 배송 25/50 | 재적재 2 | 도착  17 | 2홉+ 0.66 | 도달  887 | 차단 1012
Ep 139 | 배송 24/50 | 재적재 4 | 도착  16 | 2홉+ 0.56 | 도달  741 | 차단  307
Ep 140 | 배송 32/50 | 재적재 4 | 도착  18 | 2홉+ 0.65 | 도달  768 | 차단  413
Ep 141 | 배송 29/50 | 재적재 3 | 도착  15 | 2홉+ 0.61 | 도달  813 | 차단  298
Ep 142 | 배송 26/50 | 재적재 5 | 도착  14 | 2홉+ 0.57 | 도달  735 | 차단  641
Ep 143 | 배송 30/50 | 재적재 3 | 도착  20 | 2홉+ 0.66 | 도달  837 | 차단  915
Ep 144 | 배송 31/50 | 재적재 4 | 도착  16 | 2홉+ 0.55 | 도달  982 | 차단  545
Ep 145 | 배송 29/50 | 재적재 3 | 도착  17 | 2홉+ 0.63 | 도달  903 | 차단  678
Ep 146 | 배송 28/50 | 재적재 3 | 도착  17 | 2홉+ 0.64 | 도달  771 | 차단  801
Ep 147 | 배송 28/50 | 재적재 3 | 도착  15 | 2홉+ 0.60 | 도달 1074 | 차단  775
Ep 148 | 배송 32/50 | 재적재 3 | 도착  17 | 2홉+ 0.59 | 도달  763 | 차단  420
Ep 149 | 배송 31/50 | 재적재 6 | 도착  20 | 2홉+ 0.60 | 도달  836 | 차단  647
Ep 150 | 배송 29/50 | 재적재 5 | 도착  19 | 2홉+ 0.61 | 도달  728 | 차단  527
  [홀드아웃] 배송 20.4±7.4 재적재 1.4 2홉+ 0.61 | 최고 29.4@ep100 정체 1/15
Ep 151 | 배송 36/50 | 재적재 4 | 도착  20 | 2홉+ 0.61 | 도달  983 | 차단  529
Ep 152 | 배송 23/50 | 재적재 3 | 도착  15 | 2홉+ 0.52 | 도달  793 | 차단  617
Ep 153 | 배송 29/50 | 재적재 4 | 도착  17 | 2홉+ 0.62 | 도달 1024 | 차단  479
Ep 154 | 배송 24/50 | 재적재 2 | 도착  12 | 2홉+ 0.64 | 도달  945 | 차단  861
Ep 155 | 배송 33/50 | 재적재 4 | 도착  19 | 2홉+ 0.65 | 도달  810 | 차단  388
Ep 156 | 배송 29/50 | 재적재 4 | 도착  19 | 2홉+ 0.61 | 도달  780 | 차단  532
Ep 157 | 배송 29/50 | 재적재 4 | 도착  17 | 2홉+ 0.58 | 도달 1011 | 차단  757
Ep 158 | 배송 29/50 | 재적재 3 | 도착  18 | 2홉+ 0.61 | 도달  774 | 차단  458
Ep 159 | 배송 25/50 | 재적재 4 | 도착  15 | 2홉+ 0.57 | 도달  803 | 차단  399
Ep 160 | 배송 32/50 | 재적재 4 | 도착  20 | 2홉+ 0.61 | 도달  942 | 차단  665
Ep 161 | 배송 27/50 | 재적재 3 | 도착  12 | 2홉+ 0.61 | 도달  836 | 차단 1007
Ep 162 | 배송 30/50 | 재적재 3 | 도착  17 | 2홉+ 0.65 | 도달  819 | 차단  402
Ep 163 | 배송 27/50 | 재적재 3 | 도착  10 | 2홉+ 0.60 | 도달  802 | 차단  508
Ep 164 | 배송 28/50 | 재적재 4 | 도착  18 | 2홉+ 0.62 | 도달  805 | 차단  365
Ep 165 | 배송 26/50 | 재적재 3 | 도착  13 | 2홉+ 0.63 | 도달  788 | 차단  911
Ep 166 | 배송 25/50 | 재적재 3 | 도착  17 | 2홉+ 0.59 | 도달  859 | 차단  371
Ep 167 | 배송 32/50 | 재적재 4 | 도착  21 | 2홉+ 0.64 | 도달  760 | 차단  503
Ep 168 | 배송 21/50 | 재적재 3 | 도착  13 | 2홉+ 0.66 | 도달  714 | 차단  708
Ep 169 | 배송 31/50 | 재적재 4 | 도착  17 | 2홉+ 0.62 | 도달  775 | 차단  548
Ep 170 | 배송 25/50 | 재적재 2 | 도착  12 | 2홉+ 0.64 | 도달  708 | 차단  719
Ep 171 | 배송 23/50 | 재적재 1 | 도착  13 | 2홉+ 0.67 | 도달 1001 | 차단 1216
Ep 172 | 배송 26/50 | 재적재 2 | 도착  20 | 2홉+ 0.62 | 도달  979 | 차단 1265
Ep 173 | 배송 27/50 | 재적재 2 | 도착  10 | 2홉+ 0.56 | 도달  805 | 차단  557
Ep 174 | 배송 30/50 | 재적재 4 | 도착  18 | 2홉+ 0.62 | 도달  814 | 차단  682
Ep 175 | 배송 28/50 | 재적재 3 | 도착  16 | 2홉+ 0.66 | 도달  802 | 차단  435
Ep 176 | 배송 29/50 | 재적재 3 | 도착  20 | 2홉+ 0.56 | 도달  996 | 차단  815
Ep 177 | 배송 26/50 | 재적재 3 | 도착  10 | 2홉+ 0.61 | 도달  945 | 차단  978
Ep 178 | 배송 30/50 | 재적재 4 | 도착  14 | 2홉+ 0.62 | 도달  844 | 차단  791
