/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 159 |  4137스텝 | 배송 39/50 | 재적재  7 | 정지 0.08 교착최장  11 | no_progress
Ep 160 |  5853스텝 | 배송 38/50 | 재적재  5 | 정지 0.19 교착최장  21 | no_progress
Ep 161 |  6388스텝 | 배송 42/50 | 재적재  7 | 정지 0.24 교착최장  87 | no_progress
Ep 162 |  4205스텝 | 배송 39/50 | 재적재  6 | 정지 0.20 교착최장  31 | no_progress
Ep 163 |  3942스텝 | 배송 36/50 | 재적재  5 | 정지 0.13 교착최장  12 | no_progress
Ep 164 |  6084스텝 | 배송 43/50 | 재적재  7 | 정지 0.15 교착최장  30 | no_progress
Ep 165 |  3308스텝 | 배송 35/50 | 재적재  6 | 정지 0.13 교착최장  13 | no_progress
Ep 166 |  6517스텝 | 배송 42/50 | 재적재  7 | 정지 0.15 교착최장  10 | no_progress
Ep 167 |  5865스텝 | 배송 40/50 | 재적재  7 | 정지 0.19 교착최장  17 | no_progress
Ep 168 |  4296스텝 | 배송 45/50 | 재적재  8 | 정지 0.21 교착최장  16 | no_progress
Ep 169 |  3415스텝 | 배송 42/50 | 재적재  7 | 정지 0.13 교착최장 100 | deadlock
Ep 170 |  3544스텝 | 배송 41/50 | 재적재  5 | 정지 0.15 교착최장  20 | no_progress
Ep 171 |  4208스텝 | 배송 43/50 | 재적재  7 | 정지 0.13 교착최장   8 | no_progress
Ep 172 |  4580스텝 | 배송 39/50 | 재적재  6 | 정지 0.17 교착최장  12 | no_progress
Ep 173 |  6660스텝 | 배송 45/50 | 재적재  7 | 정지 0.18 교착최장  34 | no_progress
Ep 174 |  3329스텝 | 배송 34/50 | 재적재  6 | 정지 0.14 교착최장  15 | no_progress
Ep 175 |  5291스텝 | 배송 40/50 | 재적재  8 | 정지 0.13 교착최장  11 | no_progress
Ep 176 |  5258스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장  28 | no_progress
Ep 177 |  3599스텝 | 배송 40/50 | 재적재  6 | 정지 0.11 교착최장   8 | no_progress
Ep 178 |  4425스텝 | 배송 41/50 | 재적재  8 | 정지 0.12 교착최장   8 | no_progress
Ep 179 |  5235스텝 | 배송 40/50 | 재적재  5 | 정지 0.20 교착최장  20 | no_progress
Ep 180 |  3656스텝 | 배송 29/50 | 재적재  4 | 정지 0.41 교착최장  96 | no_progress
Ep 181 |  5151스텝 | 배송 45/50 | 재적재  7 | 정지 0.21 교착최장  24 | no_progress
Ep 182 |  5338스텝 | 배송 40/50 | 재적재  8 | 정지 0.24 교착최장  47 | no_progress
Ep 183 |  3774스텝 | 배송 43/50 | 재적재  7 | 정지 0.15 교착최장  40 | no_progress
Ep 184 |  5676스텝 | 배송 44/50 | 재적재  7 | 정지 0.13 교착최장  17 | no_progress
Ep 185 |  3180스텝 | 배송 38/50 | 재적재  6 | 정지 0.17 교착최장  11 | no_progress
Ep 186 |  4028스텝 | 배송 42/50 | 재적재  6 | 정지 0.20 교착최장  13 | no_progress
Ep 187 |  4700스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  22 | no_progress
Ep 188 |  3620스텝 | 배송 38/50 | 재적재  6 | 정지 0.20 교착최장  32 | no_progress
Ep 189 |  3491스텝 | 배송 33/50 | 재적재  4 | 정지 0.20 교착최장   8 | no_progress
Ep 190 |  3834스텝 | 배송 40/50 | 재적재  7 | 정지 0.16 교착최장  10 | no_progress
Ep 191 |  3494스텝 | 배송 41/50 | 재적재  6 | 정지 0.15 교착최장  19 | no_progress
Ep 192 |  4116스텝 | 배송 46/50 | 재적재  7 | 정지 0.17 교착최장  17 | no_progress
Ep 193 |  3131스텝 | 배송 37/50 | 재적재  5 | 정지 0.15 교착최장  12 | no_progress
Ep 194 |  4262스텝 | 배송 39/50 | 재적재  6 | 정지 0.16 교착최장  16 | no_progress
Ep 195 |  4618스텝 | 배송 43/50 | 재적재  6 | 정지 0.16 교착최장  10 | no_progress
Ep 196 |  4756스텝 | 배송 46/50 | 재적재  8 | 정지 0.14 교착최장  11 | no_progress
Ep 197 |  3939스텝 | 배송 39/50 | 재적재  7 | 정지 0.12 교착최장  14 | no_progress
Ep 198 |  4043스텝 | 배송 40/50 | 재적재  7 | 정지 0.13 교착최장  12 | no_progress
Ep 199 |  2332스텝 | 배송 29/50 | 재적재  4 | 정지 0.17 교착최장  11 | no_progress
Ep 200 |  6448스텝 | 배송 42/50 | 재적재  7 | 정지 0.20 교착최장  40 | no_progress
  [홀드아웃] 배송 20.2±8.2 재적재 2.2 2홉+ 0.35 | 최고 20.2@ep200 정체 0/15  ← 갱신
Ep 201 |  5551스텝 | 배송 40/50 | 재적재  6 | 정지 0.19 교착최장  68 | no_progress
Ep 202 |  3775스텝 | 배송 33/50 | 재적재  4 | 정지 0.16 교착최장  13 | no_progress
Ep 203 |  4464스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  39 | no_progress
Ep 204 |  4533스텝 | 배송 41/50 | 재적재  6 | 정지 0.11 교착최장   9 | no_progress
Ep 205 |  2290스텝 | 배송 36/50 | 재적재  6 | 정지 0.21 교착최장   9 | no_progress
Ep 206 |  6044스텝 | 배송 40/50 | 재적재  6 | 정지 0.21 교착최장  21 | no_progress
Ep 207 |  5610스텝 | 배송 45/50 | 재적재  7 | 정지 0.13 교착최장  22 | no_progress
Ep 208 |  3261스텝 | 배송 36/50 | 재적재  4 | 정지 0.14 교착최장  14 | no_progress
Ep 209 |  4286스텝 | 배송 42/50 | 재적재  7 | 정지 0.15 교착최장  30 | no_progress
Ep 210 |  4490스텝 | 배송 35/50 | 재적재  5 | 정지 0.30 교착최장  79 | no_progress
Ep 211 |  4811스텝 | 배송 44/50 | 재적재  8 | 정지 0.14 교착최장  15 | no_progress
Ep 212 |  4978스텝 | 배송 43/50 | 재적재  7 | 정지 0.17 교착최장  37 | no_progress
Ep 213 |  2721스텝 | 배송 31/50 | 재적재  5 | 정지 0.13 교착최장  40 | no_progress
Ep 214 |  4003스텝 | 배송 39/50 | 재적재  6 | 정지 0.16 교착최장  29 | no_progress
Ep 215 |  6167스텝 | 배송 41/50 | 재적재  8 | 정지 0.14 교착최장  11 | no_progress
Ep 216 |  5332스텝 | 배송 39/50 | 재적재  5 | 정지 0.19 교착최장  17 | no_progress
Ep 217 |  4739스텝 | 배송 38/50 | 재적재  5 | 정지 0.17 교착최장  13 | no_progress
Ep 218 |  3726스텝 | 배송 40/50 | 재적재  7 | 정지 0.09 교착최장   6 | no_progress
Ep 219 |  4875스텝 | 배송 40/50 | 재적재  6 | 정지 0.13 교착최장  17 | no_progress
Ep 220 |  4914스텝 | 배송 43/50 | 재적재  7 | 정지 0.16 교착최장  16 | no_progress
Ep 221 |  5592스텝 | 배송 40/50 | 재적재  7 | 정지 0.21 교착최장  21 | no_progress
Ep 222 |  4109스텝 | 배송 41/50 | 재적재  7 | 정지 0.12 교착최장   7 | no_progress
Ep 223 |  2324스텝 | 배송 31/50 | 재적재  4 | 정지 0.12 교착최장   8 | no_progress
