/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_vec_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 144 | Step 1000 | R   306.12 | 배송 25/50 | 미활동 0 | 2홉+ 0.65 | 도달  782 | 차단 2121
Ep 145 | Step 1000 | R    54.82 | 배송 14/50 | 미활동 0 | 2홉+ 0.73 | 도달  989 | 차단 3248
Ep 146 | Step 1000 | R   234.28 | 배송 21/50 | 미활동 0 | 2홉+ 0.62 | 도달  978 | 차단 2039
Ep 147 | Step 1000 | R    14.21 | 배송 10/50 | 미활동 2 | 2홉+ 0.72 | 도달  939 | 차단 3377
Ep 148 | Step 1000 | R    95.06 | 배송 16/50 | 미활동 0 | 2홉+ 0.73 | 도달 1004 | 차단 2567
Ep 149 | Step 1000 | R    32.75 | 배송 11/50 | 미활동 0 | 2홉+ 0.72 | 도달  958 | 차단 2971
Ep 150 | Step 1000 | R   360.48 | 배송 29/50 | 미활동 0 | 2홉+ 0.64 | 도달 1035 | 차단 1469
  [홀드아웃] 배송 6.7±2.5 미활동 1.00 2홉+ 0.69 도달 831 | 최고 8.7@ep100 | 정체 1/15
Ep 151 | Step 1000 | R   367.09 | 배송 25/50 | 미활동 0 | 2홉+ 0.58 | 도달  929 | 차단 1511
Ep 152 | Step 1000 | R   374.22 | 배송 26/50 | 미활동 0 | 2홉+ 0.60 | 도달  831 | 차단 1202
Ep 153 | Step 1000 | R   340.94 | 배송 26/50 | 미활동 0 | 2홉+ 0.58 | 도달  869 | 차단 1238
Ep 154 | Step 1000 | R   153.16 | 배송 16/50 | 미활동 0 | 2홉+ 0.56 | 도달  927 | 차단 1771
Ep 155 | Step 1000 | R   221.32 | 배송 21/50 | 미활동 0 | 2홉+ 0.51 | 도달  723 | 차단  852
Ep 156 | Step 1000 | R    40.92 | 배송 12/50 | 미활동 0 | 2홉+ 0.73 | 도달 1008 | 차단 2690
Ep 157 | Step 1000 | R    65.07 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  654 | 차단 2846
Ep 158 | Step 1000 | R    94.77 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  777 | 차단 3101
Ep 159 | Step 1000 | R    79.25 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달 1006 | 차단 3127
Ep 160 | Step 1000 | R   151.55 | 배송 17/50 | 미활동 0 | 2홉+ 0.65 | 도달  935 | 차단 2215
Ep 161 | Step 1000 | R   304.82 | 배송 24/50 | 미활동 0 | 2홉+ 0.49 | 도달  906 | 차단 1447
