/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_04_15_w/best_worker.pth
Ep 140 | 배송 33/50 | 재적재 4 | 도착  21 | 2홉+ 0.61 | 도달  891 | 차단  527 | 정지 0.28 최장   4
Ep 141 | 배송 29/50 | 재적재 3 | 도착  14 | 2홉+ 0.61 | 도달  831 | 차단  681 | 정지 0.38 최장   3
Ep 142 | 배송 36/50 | 재적재 5 | 도착  21 | 2홉+ 0.65 | 도달  975 | 차단  700 | 정지 0.28 최장   2
Ep 143 | 배송 31/50 | 재적재 5 | 도착  26 | 2홉+ 0.61 | 도달  803 | 차단  467 | 정지 0.23 최장   2
Ep 144 | 배송 28/50 | 재적재 4 | 도착  18 | 2홉+ 0.62 | 도달  785 | 차단  514 | 정지 0.50 최장   1
Ep 145 | 배송 29/50 | 재적재 3 | 도착  16 | 2홉+ 0.60 | 도달  850 | 차단  545 | 정지 0.05 최장   5
Ep 146 | 배송 32/50 | 재적재 4 | 도착  23 | 2홉+ 0.64 | 도달  756 | 차단  439 | 정지 0.15 최장   2
Ep 147 | 배송 33/50 | 재적재 4 | 도착  18 | 2홉+ 0.65 | 도달 1028 | 차단  795 | 정지 0.58 최장   4
Ep 148 | 배송 30/50 | 재적재 4 | 도착  23 | 2홉+ 0.58 | 도달  875 | 차단  354 | 정지 0.16 최장   2
Ep 149 | 배송 31/50 | 재적재 4 | 도착  26 | 2홉+ 0.58 | 도달  819 | 차단  481 | 정지 0.03 최장   2
