episode,steps,team_reward,worker_reward,delivered,makespan,t_last_deliv,idle_drones,reloads,arrivals,blocked,hop2plus,max_reach,stall_ratio,max_stall_run,comm_loss,env_steps,wall_sec
166,1000,400.0,11.418,32,,856,0,4,17,455,0.6118,908.3,,,0,166000,2071.3
167,1000,300.0,3.779,25,,806,0,3,13,471,0.5935,901.0,,,0,167000,2097.3
168,1000,380.0,12.994,30,,975,0,4,23,375,0.634,864.5,,,0,168000,2112.0
169,1000,360.0,-0.123,31,,949,0,3,17,582,0.6408,911.1,,,0,169000,2127.5
170,1000,360.0,10.661,28,,899,0,4,18,337,0.6045,874.9,,,0,170000,2143.6
171,1000,380.0,3.898,30,,939,0,4,24,588,0.6308,842.6,,,0,171000,2160.9
172,1000,350.0,4.816,27,,814,0,4,16,464,0.6575,922.3,,,0,172000,2175.0
173,1000,350.0,2.271,30,,878,0,3,16,649,0.632,773.6,,,0,173000,2190.7
174,1000,300.0,6.062,28,,968,0,2,10,291,0.6,791.4,,,0,174000,2204.6
175,1000,310.0,6.031,29,,971,0,2,15,454,0.6743,837.3,,,0,175000,2219.2
176,1000,340.0,6.562,29,,984,0,3,18,580,0.5988,955.8,,,0,176000,2235.1
177,1000,320.0,-2.501,27,,852,0,3,16,803,0.6538,975.6,,,0,177000,2249.8
178,1000,390.0,6.46,31,,999,0,4,16,356,0.625,822.8,,,0,178000,2265.6
179,1000,390.0,10.058,31,,992,0,4,19,478,0.5425,766.9,,,0,179000,2280.6
180,1000,410.0,5.445,33,,961,0,4,21,601,0.6135,853.1,,,0,180000,2296.9
181,1000,400.0,14.963,32,,992,0,4,15,338,0.6172,830.1,,,0,181000,2311.7
182,1000,420.0,7.861,31,,818,0,5,23,411,0.6205,775.4,,,0,182000,2327.7
183,1000,460.0,19.108,32,,919,0,6,20,367,0.584,786.2,,,0,183000,2342.4
184,1000,410.0,13.79,33,,916,0,4,17,356,0.62,905.3,,,0,184000,2358.6
185,1000,420.0,5.824,31,,839,0,5,23,577,0.6408,788.7,,,0,185000,2373.7
186,1000,340.0,9.256,29,,838,0,3,22,357,0.6045,839.3,,,0,186000,2388.8
187,1000,340.0,3.242,29,,996,0,3,15,424,0.6625,927.0,,,0,187000,2405.2
188,1000,330.0,11.209,28,,975,0,3,19,363,0.6112,739.7,,,0,188000,2420.3
189,1000,420.0,2.266,31,,991,0,5,16,720,0.6142,785.1,,,0,189000,2436.6
190,1000,390.0,2.824,31,,887,0,4,16,526,0.6218,792.3,,,0,190000,2451.9
191,1000,340.0,8.33,29,,948,0,3,16,438,0.626,847.0,,,0,191000,2468.4
192,1000,430.0,8.465,32,,993,0,5,17,439,0.622,938.9,,,0,192000,2483.5
193,1000,430.0,2.287,32,,953,0,5,18,770,0.613,798.1,,,0,193000,2500.1
194,1000,360.0,3.851,28,,982,0,4,12,507,0.6292,827.7,,,0,194000,2514.7
195,1000,350.0,10.555,27,,835,0,4,15,303,0.58,749.5,,,0,195000,2530.4
196,1000,380.0,14.341,30,,980,0,4,15,318,0.5857,786.3,,,0,196000,2544.7
197,1000,350.0,3.405,30,,965,0,3,12,734,0.639,818.7,,,0,197000,2558.8
198,1000,340.0,15.847,29,,948,0,3,53,370,0.6212,869.7,,,0,198000,2575.0
199,1000,350.0,12.375,30,,908,0,3,19,357,0.6022,813.8,,,0,199000,2589.5
200,1000,380.0,4.25,30,,985,0,4,14,640,0.5915,721.5,,,0,200000,2605.7
201,1000,330.0,8.079,28,,807,0,3,18,544,0.5998,805.2,,,0,201000,2657.1
202,1000,410.0,11.75,33,,941,0,4,21,425,0.6402,947.7,,,0,202000,2672.6
203,1000,290.0,-13.943,24,,962,0,3,9,1049,0.6465,947.3,,,0,203000,2687.0
204,1000,340.0,-2.5,29,,886,0,3,15,736,0.6098,840.1,,,0,204000,2703.3
205,1000,280.0,3.138,26,,951,0,2,14,337,0.6318,837.4,,,0,205000,2717.3
206,1000,380.0,10.57,30,,998,0,4,28,315,0.618,758.4,,,0,206000,2733.3
207,1000,370.0,1.753,29,,994,0,4,15,344,0.5575,723.9,,,0,207000,2748.1
208,1000,250.0,-5.006,23,,760,0,2,17,645,0.609,789.2,,,0,208000,2764.4
209,1000,330.0,4.107,28,,937,0,3,14,424,0.6262,743.0,,,0,209000,2779.3
210,1000,460.0,11.158,35,,921,0,5,24,346,0.6132,893.5,,,0,210000,2795.1
211,1000,360.0,5.232,28,,870,0,4,19,404,0.5605,761.8,,,0,211000,2811.8
212,1000,400.0,11.529,32,,998,0,4,21,492,0.6135,753.4,,,0,212000,2827.5
213,1000,480.0,14.516,34,,814,0,6,32,545,0.605,872.6,,,0,213000,2844.3
214,1000,350.0,1.573,27,,830,0,4,16,551,0.5657,733.6,,,0,214000,2859.0
215,1000,390.0,2.983,31,,948,0,4,20,567,0.6118,942.5,,,0,215000,2875.0
216,1000,360.0,6.084,28,,827,0,4,16,591,0.6125,755.6,,,0,216000,2889.6
217,1000,410.0,11.437,33,,947,0,4,24,366,0.5773,832.3,,,0,217000,2906.4
218,1000,420.0,13.632,31,,961,0,5,27,337,0.6058,826.8,,,0,218000,2921.4
219,1000,480.0,14.91,34,,977,0,6,28,439,0.6218,901.5,,,0,219000,2937.7
220,1000,350.0,13.355,30,,969,0,3,20,333,0.5655,765.4,,,0,220000,2952.9
221,1000,380.0,10.173,30,,971,0,4,19,340,0.6248,741.8,,,0,221000,2969.2
222,1000,400.0,7.468,32,,901,0,4,22,440,0.6338,871.9,,,0,222000,2983.9
223,1000,370.0,1.354,29,,898,0,4,18,481,0.5655,854.1,,,0,223000,3001.0
224,1000,280.0,-7.463,26,,965,0,2,14,789,0.6847,933.4,,,0,224000,3016.0
225,1000,380.0,3.431,30,,987,0,4,19,499,0.673,855.4,,,0,225000,3031.0
226,1000,470.0,10.262,36,,904,0,5,21,430,0.618,850.9,,,0,226000,3046.9
227,1000,370.0,11.438,29,,998,0,4,15,307,0.568,714.0,,,0,227000,3061.3
228,1000,380.0,7.025,30,,910,0,4,20,410,0.6182,866.4,,,0,228000,3078.2
229,1000,460.0,13.189,35,,936,0,5,18,340,0.5933,895.6,,,0,229000,3094.6
230,1000,400.0,11.005,32,,961,0,4,21,469,0.6258,776.8,,,0,230000,3112.5
231,1000,330.0,4.554,28,,847,0,3,20,575,0.618,839.1,,,0,231000,3128.2
232,1000,450.0,7.449,34,,949,0,5,19,588,0.63,970.5,,,0,232000,3145.7
233,1000,390.0,6.697,31,,943,0,4,26,595,0.6395,996.3,,,0,233000,3163.0
