/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300s_angle
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=angle projection=scale
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 117 | Step 1000 | R   103.25 | 배송 14/50 | 미활동 1 | 2홉+ 0.69 | 도달  940 | 차단 2050
Ep 118 | Step 1000 | R   140.74 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  768 | 차단 1722
Ep 119 | Step 1000 | R   101.35 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달 1027 | 차단 2219
Ep 120 | Step 1000 | R   153.81 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  870 | 차단 1157
Ep 121 | Step 1000 | R   143.59 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  786 | 차단 1458
Ep 122 | Step 1000 | R    40.06 | 배송  8/50 | 미활동 2 | 2홉+ 0.71 | 도달  709 | 차단 1121
Ep 123 | Step 1000 | R    60.85 | 배송  9/50 | 미활동 1 | 2홉+ 0.71 | 도달  747 | 차단 1655
Ep 124 | Step 1000 | R   123.64 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  983 | 차단 1919
Ep 125 | Step 1000 | R   134.11 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달 1007 | 차단 1242
Ep 126 | Step 1000 | R   127.21 | 배송 16/50 | 미활동 0 | 2홉+ 0.71 | 도달  882 | 차단 1506
Ep 127 | Step 1000 | R   128.31 | 배송 16/50 | 미활동 0 | 2홉+ 0.66 | 도달  726 | 차단 1356
Ep 128 | Step 1000 | R   118.86 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  815 | 차단 1631
Ep 129 | Step 1000 | R   114.31 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  706 | 차단 1765
Ep 130 | Step 1000 | R   126.71 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달  767 | 차단 1437
Ep 131 | Step 1000 | R   134.10 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  730 | 차단 1236
Ep 132 | Step 1000 | R   144.05 | 배송 18/50 | 미활동 0 | 2홉+ 0.70 | 도달  750 | 차단 1035
Ep 133 | Step 1000 | R    24.06 | 배송  6/50 | 미활동 1 | 2홉+ 0.65 | 도달  720 | 차단 2429
