/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v1_26_08_25_04  relay_w=2.0
obs_dim=19, state_dim=66, total_act_dim=8
Ep 113 | Step 1000 | R   185.38 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달 1026 | 차단  593
Ep 114 | Step 1000 | R   165.81 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1073 | 차단  189
Ep 115 | Step 1000 | R   104.89 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달  972 | 차단  894
Ep 116 | Step 1000 | R   176.83 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달  995 | 차단  531
Ep 117 | Step 1000 | R   138.62 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달  988 | 차단  891
Ep 118 | Step 1000 | R   182.48 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달  981 | 차단  166
Ep 119 | Step 1000 | R   164.25 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1027 | 차단  262
Ep 120 | Step 1000 | R    84.97 | 배송 12/50 | 미활동드론 1 | 재적재 0 | 2홉+ 0.50 | 도달 1009 | 차단 1158
Ep 121 | Step 1000 | R   177.33 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  997 | 차단  618
Ep 122 | Step 1000 | R   179.89 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1034 | 차단  392
Ep 123 | Step 1000 | R   177.14 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달  980 | 차단  260
Ep 124 | Step 1000 | R   103.66 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1074 | 차단 1039
Ep 125 | Step 1000 | R   175.39 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달  995 | 차단  280
Ep 126 | Step 1000 | R   171.75 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.49 | 도달  934 | 차단  256
Ep 127 | Step 1000 | R   152.86 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1036 | 차단  663
Ep 128 | Step 1000 | R   172.95 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달 1010 | 차단  488
Ep 129 | Step 1000 | R   158.09 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.60 | 도달 1035 | 차단  620
Ep 130 | Step 1000 | R   135.48 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달 1070 | 차단  743
Ep 131 | Step 1000 | R   159.60 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.70 | 도달 1074 | 차단  407
Ep 132 | Step 1000 | R   185.61 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.56 | 도달  965 | 차단  198
Ep 133 | Step 1000 | R   145.28 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.58 | 도달 1074 | 차단   82
Ep 134 | Step 1000 | R   170.82 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달  991 | 차단  695
Ep 135 | Step 1000 | R   170.23 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.62 | 도달 1009 | 차단  385
Ep 136 | Step 1000 | R   139.14 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.48 | 도달 1036 | 차단 1074
Ep 137 | Step 1000 | R   158.82 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1074 | 차단  340
Ep 138 | Step 1000 | R   166.12 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달 1074 | 차단  190
Ep 139 | Step 1000 | R   160.72 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달 1009 | 차단  280
Ep 140 | Step 1000 | R   165.58 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.62 | 도달  971 | 차단  207
Ep 141 | Step 1000 | R   207.07 | 배송 19/50 | 미활동드론 0 | 재적재 1 | 2홉+ 0.55 | 도달  959 | 차단  661
Ep 142 | Step 1000 | R   179.73 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.54 | 도달  957 | 차단  345
Ep 143 | Step 1000 | R   189.32 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달 1074 | 차단  318
Ep 144 | Step 1000 | R   163.90 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.67 | 도달  951 | 차단  664
Ep 145 | Step 1000 | R   185.07 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  952 | 차단  185
Ep 146 | Step 1000 | R   167.21 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달  967 | 차단 1031
Ep 147 | Step 1000 | R   159.56 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.57 | 도달 1074 | 차단  446
Ep 148 | Step 1000 | R   182.27 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.58 | 도달  904 | 차단  200
Ep 149 | Step 1000 | R   189.53 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.56 | 도달  955 | 차단  641
Ep 150 | Step 1000 | R   154.02 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달 1022 | 차단 1035
Ep 151 | Step 1000 | R   138.06 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.66 | 도달 1042 | 차단  749
Ep 152 | Step 1000 | R   159.94 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.69 | 도달  968 | 차단  264
Ep 153 | Step 1000 | R   156.29 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1074 | 차단  665
Ep 154 | Step 1000 | R   173.25 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.37 | 도달  948 | 차단  286
Ep 155 | Step 1000 | R   119.26 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.50 | 도달  947 | 차단  820
Ep 156 | Step 1000 | R   186.39 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  964 | 차단  256
Ep 157 | Step 1000 | R   171.85 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.68 | 도달 1009 | 차단  340
Ep 158 | Step 1000 | R   158.54 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.65 | 도달  983 | 차단  455
Ep 159 | Step 1000 | R   171.39 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.61 | 도달  992 | 차단  964
Ep 160 | Step 1000 | R   124.59 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.61 | 도달  808 | 차단  466
Ep 161 | Step 1000 | R   141.01 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.63 | 도달 1074 | 차단  465
Ep 162 | Step 1000 | R   183.20 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 2홉+ 0.56 | 도달  982 | 차단  525
