/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=2000 (초반 300ep까지 2000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 110 |  4404스텝 | 배송 45/50 | 재적재  8 | 정지 0.13 교착최장  21 | no_progress
Ep 111 |  8694스텝 | 배송 48/50 | 재적재  7 | 정지 0.18 교착최장  17 | no_progress
Ep 112 | 10000스텝 | 배송 45/50 | 재적재  8 | 정지 0.12 교착최장  13 | step_limit
Ep 113 |  8919스텝 | 배송 44/50 | 재적재  8 | 정지 0.19 교착최장  27 | no_progress
Ep 114 |  9998스텝 | 배송 47/50 | 재적재  8 | 정지 0.10 교착최장  16 | no_progress
Ep 115 |  7743스텝 | 배송 43/50 | 재적재  7 | 정지 0.12 교착최장  17 | no_progress
Ep 116 |  9000스텝 | 배송 44/50 | 재적재  7 | 정지 0.14 교착최장  19 | no_progress
Ep 117 |  9318스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  29 | no_progress
Ep 118 | 10000스텝 | 배송 46/50 | 재적재  7 | 정지 0.18 교착최장  29 | step_limit
Ep 119 | 10000스텝 | 배송 45/50 | 재적재  8 | 정지 0.15 교착최장  17 | step_limit
Ep 120 |  5379스텝 | 배송 43/50 | 재적재  6 | 정지 0.20 교착최장  11 | no_progress
Ep 121 |  5357스텝 | 배송 45/50 | 재적재  8 | 정지 0.11 교착최장   9 | no_progress
Ep 122 |  7001스텝 | 배송 43/50 | 재적재  7 | 정지 0.19 교착최장  65 | no_progress
Ep 123 |  6576스텝 | 배송 44/50 | 재적재  7 | 정지 0.13 교착최장  30 | no_progress
Ep 124 |  5820스텝 | 배송 43/50 | 재적재  7 | 정지 0.21 교착최장  27 | no_progress
Ep 125 |  7851스텝 | 배송 44/50 | 재적재  7 | 정지 0.18 교착최장  39 | no_progress
Ep 126 |  9698스텝 | 배송 44/50 | 재적재  8 | 정지 0.13 교착최장  20 | no_progress
Ep 127 |  4796스텝 | 배송 46/50 | 재적재  8 | 정지 0.15 교착최장 100 | deadlock
Ep 128 |  4265스텝 | 배송 41/50 | 재적재  6 | 정지 0.14 교착최장 100 | deadlock
Ep 129 |  8594스텝 | 배송 47/50 | 재적재  7 | 정지 0.17 교착최장 100 | deadlock
Ep 130 |  9230스텝 | 배송 45/50 | 재적재  8 | 정지 0.11 교착최장  24 | no_progress
Ep 131 |  4596스텝 | 배송 43/50 | 재적재  8 | 정지 0.13 교착최장  29 | no_progress
Ep 132 |  9047스텝 | 배송 44/50 | 재적재  8 | 정지 0.17 교착최장  17 | no_progress
Ep 133 |  5288스텝 | 배송 42/50 | 재적재  7 | 정지 0.13 교착최장  13 | no_progress
Ep 134 |  7372스텝 | 배송 49/50 | 재적재  8 | 정지 0.28 교착최장 100 | deadlock
Ep 135 |  9704스텝 | 배송 43/50 | 재적재  8 | 정지 0.17 교착최장  27 | no_progress
Ep 136 |  6443스텝 | 배송 47/50 | 재적재  7 | 정지 0.31 교착최장 100 | deadlock
Ep 137 |  6915스텝 | 배송 43/50 | 재적재  8 | 정지 0.13 교착최장  26 | no_progress
Ep 138 |  6043스텝 | 배송 39/50 | 재적재  7 | 정지 0.19 교착최장  14 | no_progress
Ep 139 |  1184스텝 | 배송 25/50 | 재적재  3 | 정지 0.23 교착최장 100 | deadlock
Ep 140 |  8000스텝 | 배송 43/50 | 재적재  7 | 정지 0.12 교착최장  14 | no_progress
Ep 141 |  4743스텝 | 배송 41/50 | 재적재  6 | 정지 0.10 교착최장  15 | no_progress
Ep 142 |  6221스텝 | 배송 44/50 | 재적재  7 | 정지 0.10 교착최장  13 | no_progress
Ep 143 |  8139스텝 | 배송 43/50 | 재적재  7 | 정지 0.12 교착최장   7 | no_progress
Ep 144 |  7480스텝 | 배송 46/50 | 재적재  8 | 정지 0.22 교착최장  45 | no_progress
Ep 145 |  6439스텝 | 배송 37/50 | 재적재  4 | 정지 0.15 교착최장  11 | no_progress
Ep 146 |  6571스텝 | 배송 47/50 | 재적재  7 | 정지 0.12 교착최장  14 | no_progress
Ep 147 |  6552스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장  12 | no_progress
Ep 148 |  7808스텝 | 배송 44/50 | 재적재  7 | 정지 0.14 교착최장  26 | no_progress
Ep 149 |  7828스텝 | 배송 45/50 | 재적재  8 | 정지 0.14 교착최장  20 | no_progress
Ep 150 |  9125스텝 | 배송 44/50 | 재적재  7 | 정지 0.20 교착최장  18 | no_progress
  [홀드아웃] 배송 20.3±6.1 재적재 1.3 2홉+ 0.55 | 최고 20.3@ep150 정체 0/15  ← 갱신
Ep 151 |  7104스텝 | 배송 44/50 | 재적재  8 | 정지 0.10 교착최장  19 | no_progress
Ep 152 |  8106스텝 | 배송 45/50 | 재적재  7 | 정지 0.15 교착최장  17 | no_progress
