/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 130 | Step 1000 | R    96.50 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달  785 | 차단 1829
Ep 131 | Step 1000 | R   137.96 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  866 | 차단 1086
Ep 132 | Step 1000 | R   135.94 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  827 | 차단 1425
Ep 133 | Step 1000 | R   136.36 | 배송 17/50 | 미활동 0 | 2홉+ 0.56 | 도달  875 | 차단 1532
Ep 134 | Step 1000 | R   162.34 | 배송 19/50 | 미활동 0 | 2홉+ 0.73 | 도달 1007 | 차단 1219
Ep 135 | Step 1000 | R    93.46 | 배송 14/50 | 미활동 0 | 2홉+ 0.64 | 도달  830 | 차단 1920
Ep 136 | Step 1000 | R   117.65 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  882 | 차단 1264
Ep 137 | Step 1000 | R   124.25 | 배송 18/50 | 미활동 0 | 2홉+ 0.60 | 도달  781 | 차단 1963
Ep 138 | Step 1000 | R   135.27 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  939 | 차단 1273
Ep 139 | Step 1000 | R   147.88 | 배송 18/50 | 미활동 0 | 2홉+ 0.67 | 도달  841 | 차단 1387
Ep 140 | Step 1000 | R   128.86 | 배송 18/50 | 미활동 0 | 2홉+ 0.71 | 도달  955 | 차단 2241
Ep 141 | Step 1000 | R   123.10 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  930 | 차단 1432
Ep 142 | Step 1000 | R   149.29 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  801 | 차단 1648
Ep 143 | Step 1000 | R   117.53 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  929 | 차단 1753
Ep 144 | Step 1000 | R   116.53 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달 1066 | 차단 1343
Ep 145 | Step 1000 | R    85.39 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  990 | 차단 1767
Ep 146 | Step 1000 | R   125.85 | 배송 16/50 | 미활동 0 | 2홉+ 0.64 | 도달  849 | 차단 1367
Ep 147 | Step 1000 | R   157.83 | 배송 19/50 | 미활동 0 | 2홉+ 0.72 | 도달  873 | 차단 1171
Ep 148 | Step 1000 | R   140.35 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  962 | 차단 1695
Ep 149 | Step 1000 | R   121.83 | 배송 16/50 | 미활동 0 | 2홉+ 0.72 | 도달  914 | 차단 1940
Ep 150 | Step 1000 | R   127.22 | 배송 17/50 | 미활동 0 | 2홉+ 0.71 | 도달  831 | 차단 1919
  [홀드아웃] 배송 7.5±3.4 미활동 1.00 2홉+ 0.72 도달 676 | 최고 11.2@ep50 | 정체 2/15
Ep 151 | Step 1000 | R   167.75 | 배송 20/50 | 미활동 0 | 2홉+ 0.72 | 도달  905 | 차단 1146
Ep 152 | Step 1000 | R    95.19 | 배송 13/50 | 미활동 0 | 2홉+ 0.49 | 도달  861 | 차단 1966
Ep 153 | Step 1000 | R   153.79 | 배송 18/50 | 미활동 0 | 2홉+ 0.72 | 도달  909 | 차단  860
Ep 154 | Step 1000 | R   152.73 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달  857 | 차단 1871
Ep 155 | Step 1000 | R   173.99 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달  815 | 차단  510
Ep 156 | Step 1000 | R   131.31 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1026 | 차단 1234
Ep 157 | Step 1000 | R    96.73 | 배송 14/50 | 미활동 0 | 2홉+ 0.71 | 도달  815 | 차단 1919
Ep 158 | Step 1000 | R    81.77 | 배송 12/50 | 미활동 1 | 2홉+ 0.71 | 도달  906 | 차단 1830
