/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda
obs_dim=19, state_dim=66, total_act_dim=8
Ep 123 | Step 1000 | R   111.55 | 배송 15/50 | 미활동드론 1 | 재적재 0 | 이동차단  334 | 단절 0
Ep 124 | Step 1000 | R    61.78 | 배송 12/50 | 미활동드론 0 | 재적재 0 | 이동차단 1327 | 단절 0
Ep 125 | Step 1000 | R    78.46 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 이동차단  782 | 단절 0
Ep 126 | Step 1000 | R   157.72 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  351 | 단절 0
Ep 127 | Step 1000 | R   116.28 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  834 | 단절 0
Ep 128 | Step 1000 | R   102.91 | 배송 15/50 | 미활동드론 1 | 재적재 0 | 이동차단  630 | 단절 0
Ep 129 | Step 1000 | R   100.11 | 배송 15/50 | 미활동드론 0 | 재적재 0 | 이동차단  626 | 단절 0
Ep 130 | Step 1000 | R   166.72 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  271 | 단절 0
Ep 131 | Step 1000 | R   111.03 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단 1251 | 단절 0
Ep 132 | Step 1000 | R   156.42 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  329 | 단절 0
Ep 133 | Step 1000 | R   108.87 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1371 | 단절 0
Ep 134 | Step 1000 | R   114.15 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단 1314 | 단절 0
Ep 135 | Step 1000 | R   158.51 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  141 | 단절 0
Ep 136 | Step 1000 | R   152.43 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  693 | 단절 0
Ep 137 | Step 1000 | R   163.15 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  427 | 단절 0
Ep 138 | Step 1000 | R   127.74 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  866 | 단절 0
Ep 139 | Step 1000 | R   138.58 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  299 | 단절 0
Ep 140 | Step 1000 | R   154.76 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  302 | 단절 0
Ep 141 | Step 1000 | R    81.32 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 이동차단  800 | 단절 0
Ep 142 | Step 1000 | R   132.65 | 배송 17/50 | 미활동드론 0 | 재적재 0 | 이동차단  903 | 단절 0
Ep 143 | Step 1000 | R   160.31 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  204 | 단절 0
Ep 144 | Step 1000 | R   130.58 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  243 | 단절 0
Ep 145 | Step 1000 | R   176.53 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  522 | 단절 0
Ep 146 | Step 1000 | R   106.78 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1328 | 단절 0
Ep 147 | Step 1000 | R   152.01 | 배송 20/50 | 미활동드론 0 | 재적재 0 | 이동차단  707 | 단절 0
Ep 148 | Step 1000 | R   162.51 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  683 | 단절 0
Ep 149 | Step 1000 | R   120.54 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단  493 | 단절 0
Ep 150 | Step 1000 | R   101.22 | 배송 16/50 | 미활동드론 0 | 재적재 0 | 이동차단 1762 | 단절 0
Ep 151 | Step 1000 | R    97.83 | 배송 13/50 | 미활동드론 0 | 재적재 0 | 이동차단  262 | 단절 0
Ep 152 | Step 1000 | R   171.71 | 배송 19/50 | 미활동드론 0 | 재적재 0 | 이동차단  285 | 단절 0
Ep 153 | Step 1000 | R   172.40 | 배송 18/50 | 미활동드론 0 | 재적재 0 | 이동차단  137 | 단절 0
Ep 154 | Step 1000 | R   106.72 | 배송 14/50 | 미활동드론 0 | 재적재 0 | 이동차단  201 | 단절 0
