/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=800 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 208 |  3523스텝 | 배송 35/50 | 재적재  6 | 정지 0.18 교착최장  15 | no_progress
Ep 209 |  6893스텝 | 배송 45/50 | 재적재  7 | 정지 0.26 교착최장  75 | no_progress
Ep 210 |  4547스텝 | 배송 40/50 | 재적재  7 | 정지 0.12 교착최장   7 | no_progress
Ep 211 |  3690스텝 | 배송 40/50 | 재적재  6 | 정지 0.16 교착최장   8 | no_progress
Ep 212 |  4384스텝 | 배송 41/50 | 재적재  7 | 정지 0.21 교착최장  13 | no_progress
Ep 213 |  2950스텝 | 배송 35/50 | 재적재  6 | 정지 0.12 교착최장  12 | no_progress
Ep 214 |  5130스텝 | 배송 41/50 | 재적재  5 | 정지 0.17 교착최장  11 | no_progress
Ep 215 |  1797스텝 | 배송 24/50 | 재적재  3 | 정지 0.22 교착최장   8 | no_progress
Ep 216 |  5003스텝 | 배송 36/50 | 재적재  5 | 정지 0.10 교착최장  17 | no_progress
Ep 217 |  3265스텝 | 배송 32/50 | 재적재  5 | 정지 0.12 교착최장   8 | no_progress
Ep 218 |  2928스텝 | 배송 39/50 | 재적재  6 | 정지 0.22 교착최장  11 | no_progress
Ep 219 |  4416스텝 | 배송 44/50 | 재적재  7 | 정지 0.14 교착최장  11 | no_progress
Ep 220 |  5136스텝 | 배송 39/50 | 재적재  7 | 정지 0.12 교착최장  10 | no_progress
Ep 221 |  4867스텝 | 배송 47/50 | 재적재  8 | 정지 0.14 교착최장  15 | no_progress
Ep 222 |  3931스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장  24 | no_progress
Ep 223 |  6302스텝 | 배송 43/50 | 재적재  7 | 정지 0.18 교착최장  70 | no_progress
