/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
이어받기: weights/v5_26_09_15_23_s3b/latest.pth (ep1500) — 에피소드·최고 기록은 초기화
집합 상위 학습 | 반경 300 상한 1000 무배송 500 gamma 0.997 구성=무작위 드론[3, 8] 목적지[20, 80] CC무작위 인스턴스=무작위 목표유지=off 완주보상=200.0 선택=makespan
/home/kopt/drone/proposed_src/pipeline/train_v5_26_09_15_23.py:298: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  writer.add_scalar("train/alpha", float(log_alpha.exp()), ep)
Ep 117 | 드론7 목적지76 |  763스텝 | 배송 76/76 | 재적재 12 | 중계율 0.05 | alpha 6.573 | complete
Ep 118 | 드론4 목적지59 |  998스텝 | 배송 59/59 | 재적재 10 | 중계율 0.03 | alpha 6.573 | complete
Ep 119 | 드론5 목적지73 | 1000스텝 | 배송 68/73 | 재적재 12 | 중계율 0.06 | alpha 6.625 | step_limit
Ep 120 | 드론5 목적지68 | 1000스텝 | 배송 65/68 | 재적재 12 | 중계율 0.05 | alpha 6.648 | step_limit
Ep 121 | 드론8 목적지59 |  422스텝 | 배송 59/59 | 재적재  8 | 중계율 0.01 | alpha 6.632 | complete
Ep 122 | 드론7 목적지55 |  474스텝 | 배송 55/55 | 재적재  8 | 중계율 0.02 | alpha 6.634 | complete
Ep 123 | 드론4 목적지22 |  523스텝 | 배송 22/22 | 재적재  2 | 중계율 0.02 | alpha 6.612 | complete
Ep 124 | 드론3 목적지57 | 1000스텝 | 배송 50/57 | 재적재  9 | 중계율 0.03 | alpha 6.634 | step_limit
Ep 125 | 드론3 목적지29 | 1000스텝 | 배송 24/29 | 재적재  3 | 중계율 0.04 | alpha 6.588 | step_limit
Ep 126 | 드론8 목적지80 |  504스텝 | 배송 80/80 | 재적재 11 | 중계율 0.02 | alpha 6.518 | complete
Ep 127 | 드론7 목적지23 |  197스텝 | 배송 23/23 | 재적재  0 | 중계율 0.00 | alpha 6.499 | complete
Ep 128 | 드론5 목적지75 | 1000스텝 | 배송 62/75 | 재적재 10 | 중계율 0.05 | alpha 6.478 | step_limit
Ep 129 | 드론6 목적지31 |  398스텝 | 배송 31/31 | 재적재  4 | 중계율 0.03 | alpha 6.477 | complete
Ep 130 | 드론6 목적지26 |  225스텝 | 배송 26/26 | 재적재  2 | 중계율 0.01 | alpha 6.465 | complete
Ep 131 | 드론7 목적지57 |  598스텝 | 배송 57/57 | 재적재  9 | 중계율 0.01 | alpha 6.498 | complete
Ep 132 | 드론5 목적지51 | 1000스텝 | 배송 41/51 | 재적재  7 | 중계율 0.07 | alpha 6.494 | step_limit
Ep 133 | 드론8 목적지36 |  285스텝 | 배송 36/36 | 재적재  4 | 중계율 0.01 | alpha 6.506 | complete
Ep 134 | 드론6 목적지49 |  536스텝 | 배송 49/49 | 재적재  7 | 중계율 0.03 | alpha 6.462 | complete
Ep 135 | 드론5 목적지56 |  919스텝 | 배송 56/56 | 재적재  9 | 중계율 0.06 | alpha 6.389 | complete
Ep 136 | 드론4 목적지38 | 1000스텝 | 배송 35/38 | 재적재  6 | 중계율 0.04 | alpha 6.355 | step_limit
Ep 137 | 드론8 목적지37 |  287스텝 | 배송 37/37 | 재적재  5 | 중계율 0.00 | alpha 6.368 | complete
Ep 138 | 드론6 목적지68 |  689스텝 | 배송 68/68 | 재적재 10 | 중계율 0.03 | alpha 6.401 | complete
Ep 139 | 드론3 목적지63 | 1000스텝 | 배송 55/63 | 재적재 10 | 중계율 0.05 | alpha 6.455 | step_limit
Ep 140 | 드론7 목적지64 |  560스텝 | 배송 64/64 | 재적재  9 | 중계율 0.02 | alpha 6.406 | complete
Ep 141 | 드론5 목적지48 |  840스텝 | 배송 48/48 | 재적재  7 | 중계율 0.03 | alpha 6.430 | complete
Ep 142 | 드론7 목적지69 |  595스텝 | 배송 69/69 | 재적재 11 | 중계율 0.02 | alpha 6.413 | complete
Ep 143 | 드론3 목적지58 | 1000스텝 | 배송 46/58 | 재적재  8 | 중계율 0.07 | alpha 6.456 | step_limit
Ep 144 | 드론8 목적지55 |  405스텝 | 배송 55/55 | 재적재  6 | 중계율 0.01 | alpha 6.433 | complete
Ep 145 | 드론3 목적지39 | 1000스텝 | 배송 33/39 | 재적재  5 | 중계율 0.06 | alpha 6.454 | step_limit
Ep 146 | 드론4 목적지60 | 1000스텝 | 배송 54/60 | 재적재 10 | 중계율 0.04 | alpha 6.485 | step_limit
Ep 147 | 드론4 목적지44 | 1000스텝 | 배송 42/44 | 재적재  7 | 중계율 0.03 | alpha 6.462 | step_limit
Ep 148 | 드론8 목적지50 |  432스텝 | 배송 50/50 | 재적재  8 | 중계율 0.01 | alpha 6.482 | complete
Ep 149 | 드론3 목적지36 | 1000스텝 | 배송 33/36 | 재적재  5 | 중계율 0.08 | alpha 6.451 | step_limit
Ep 150 | 드론6 목적지78 |  885스텝 | 배송 78/78 | 재적재 14 | 중계율 0.03 | alpha 6.413 | complete
  [홀드아웃] 배송 42.8±4.1 완주 0.00 스텝 1000 점수 42.8 재적재 7.2 2홉+ 0.63 | 최고 43.8@ep100 정체 1/15
Ep 151 | 드론4 목적지64 | 1000스텝 | 배송 59/64 | 재적재 10 | 중계율 0.02 | alpha 6.407 | step_limit
Ep 152 | 드론8 목적지21 |  175스텝 | 배송 21/21 | 재적재  0 | 중계율 0.00 | alpha 6.395 | complete
Ep 153 | 드론6 목적지76 |  952스텝 | 배송 76/76 | 재적재 14 | 중계율 0.03 | alpha 6.384 | complete
Ep 154 | 드론3 목적지40 | 1000스텝 | 배송 30/40 | 재적재  4 | 중계율 0.07 | alpha 6.412 | step_limit
Ep 155 | 드론5 목적지64 |  742스텝 | 배송 64/64 | 재적재 11 | 중계율 0.05 | alpha 6.461 | complete
Ep 156 | 드론6 목적지50 |  607스텝 | 배송 50/50 | 재적재  7 | 중계율 0.03 | alpha 6.453 | complete
Ep 157 | 드론4 목적지56 |  981스텝 | 배송 56/56 | 재적재 10 | 중계율 0.05 | alpha 6.426 | complete
Ep 158 | 드론8 목적지67 |  484스텝 | 배송 67/67 | 재적재 10 | 중계율 0.02 | alpha 6.379 | complete
Ep 159 | 드론6 목적지78 |  640스텝 | 배송 78/78 | 재적재 11 | 중계율 0.01 | alpha 6.359 | complete
Ep 160 | 드론7 목적지23 |  249스텝 | 배송 23/23 | 재적재  0 | 중계율 0.00 | alpha 6.359 | complete
Ep 161 | 드론8 목적지73 |  735스텝 | 배송 73/73 | 재적재 13 | 중계율 0.07 | alpha 6.352 | complete
Ep 162 | 드론5 목적지49 |  488스텝 | 배송 49/49 | 재적재  7 | 중계율 0.01 | alpha 6.366 | complete
Ep 163 | 드론7 목적지36 |  325스텝 | 배송 36/36 | 재적재  5 | 중계율 0.01 | alpha 6.338 | complete
Ep 164 | 드론7 목적지54 |  361스텝 | 배송 54/54 | 재적재  7 | 중계율 0.01 | alpha 6.332 | complete
Ep 165 | 드론8 목적지47 |  352스텝 | 배송 47/47 | 재적재  5 | 중계율 0.01 | alpha 6.352 | complete
Ep 166 | 드론6 목적지63 |  887스텝 | 배송 63/63 | 재적재 10 | 중계율 0.03 | alpha 6.330 | complete
Ep 167 | 드론6 목적지38 |  333스텝 | 배송 38/38 | 재적재  5 | 중계율 0.01 | alpha 6.342 | complete
Ep 168 | 드론6 목적지44 |  542스텝 | 배송 44/44 | 재적재  8 | 중계율 0.06 | alpha 6.347 | complete
Ep 169 | 드론7 목적지45 |  502스텝 | 배송 45/45 | 재적재  6 | 중계율 0.03 | alpha 6.325 | complete
Ep 170 | 드론5 목적지78 | 1000스텝 | 배송 76/78 | 재적재 13 | 중계율 0.04 | alpha 6.373 | step_limit
