/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=worker 장치=cuda 반경=300.0 상위주기=20
worker_obs=16 manager_obs=40 state=66 상위행동=7
Ep 174 | 배송 34/50 | 재적재 5 | 도착  40 | 2홉+ 0.62 | 도달  801 | 차단 1023
Ep 175 | 배송 35/50 | 재적재 5 | 도착  42 | 2홉+ 0.56 | 도달  738 | 차단  716
Ep 176 | 배송 39/50 | 재적재 6 | 도착  48 | 2홉+ 0.56 | 도달  896 | 차단  857
Ep 177 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.61 | 도달  887 | 차단  662
Ep 178 | 배송 41/50 | 재적재 6 | 도착  48 | 2홉+ 0.59 | 도달  875 | 차단  798
Ep 179 | 배송 36/50 | 재적재 5 | 도착  41 | 2홉+ 0.65 | 도달  800 | 차단 1011
Ep 180 | 배송 33/50 | 재적재 3 | 도착  40 | 2홉+ 0.53 | 도달  827 | 차단  779
Ep 181 | 배송 37/50 | 재적재 5 | 도착  43 | 2홉+ 0.63 | 도달  827 | 차단  712
Ep 182 | 배송 36/50 | 재적재 6 | 도착  42 | 2홉+ 0.62 | 도달  794 | 차단  899
Ep 183 | 배송 35/50 | 재적재 5 | 도착  40 | 2홉+ 0.58 | 도달  785 | 차단 1290
Ep 184 | 배송 35/50 | 재적재 6 | 도착  43 | 2홉+ 0.61 | 도달  801 | 차단  805
Ep 185 | 배송 31/50 | 재적재 5 | 도착  35 | 2홉+ 0.64 | 도달  819 | 차단 1132
Ep 186 | 배송 29/50 | 재적재 3 | 도착  34 | 2홉+ 0.59 | 도달  738 | 차단  797
Ep 187 | 배송 38/50 | 재적재 5 | 도착  44 | 2홉+ 0.63 | 도달  892 | 차단 1316
Ep 188 | 배송 30/50 | 재적재 3 | 도착  32 | 2홉+ 0.61 | 도달  868 | 차단 1819
Ep 189 | 배송 37/50 | 재적재 6 | 도착  47 | 2홉+ 0.64 | 도달  876 | 차단 1251
Ep 190 | 배송 29/50 | 재적재 4 | 도착  34 | 2홉+ 0.59 | 도달  740 | 차단 1489
Ep 191 | 배송 42/50 | 재적재 7 | 도착  49 | 2홉+ 0.62 | 도달  940 | 차단  701
Ep 192 | 배송 39/50 | 재적재 6 | 도착  47 | 2홉+ 0.64 | 도달  907 | 차단  783
Ep 193 | 배송 38/50 | 재적재 6 | 도착  46 | 2홉+ 0.59 | 도달  818 | 차단  783
Ep 194 | 배송 38/50 | 재적재 6 | 도착  42 | 2홉+ 0.63 | 도달  815 | 차단 1050
Ep 195 | 배송 40/50 | 재적재 7 | 도착  54 | 2홉+ 0.60 | 도달  807 | 차단  989
Ep 196 | 배송 38/50 | 재적재 6 | 도착  44 | 2홉+ 0.58 | 도달  771 | 차단  617
Ep 197 | 배송 34/50 | 재적재 5 | 도착  37 | 2홉+ 0.64 | 도달  801 | 차단  801
Ep 198 | 배송 34/50 | 재적재 5 | 도착  42 | 2홉+ 0.60 | 도달  816 | 차단  726
Ep 199 | 배송 40/50 | 재적재 6 | 도착  47 | 2홉+ 0.59 | 도달  853 | 차단  446
Ep 200 | 배송 34/50 | 재적재 5 | 도착  39 | 2홉+ 0.60 | 도달  788 | 차단  876
  [홀드아웃] 배송 27.0±11.9 재적재 3.0 2홉+ 0.60 | 최고 27.0@ep200 정체 0/15  ← 갱신
Ep 201 | 배송 40/50 | 재적재 7 | 도착  47 | 2홉+ 0.61 | 도달  805 | 차단  682
Ep 202 | 배송 41/50 | 재적재 7 | 도착  50 | 2홉+ 0.60 | 도달  899 | 차단  610
Ep 203 | 배송 29/50 | 재적재 3 | 도착  35 | 2홉+ 0.58 | 도달  942 | 차단 1040
Ep 204 | 배송 37/50 | 재적재 6 | 도착  46 | 2홉+ 0.55 | 도달  802 | 차단  713
Ep 205 | 배송 43/50 | 재적재 7 | 도착  51 | 2홉+ 0.61 | 도달  876 | 차단  785
Ep 206 | 배송 38/50 | 재적재 7 | 도착  46 | 2홉+ 0.59 | 도달  871 | 차단  798
Ep 207 | 배송 36/50 | 재적재 6 | 도착  39 | 2홉+ 0.64 | 도달  799 | 차단  907
Ep 208 | 배송 32/50 | 재적재 5 | 도착  35 | 2홉+ 0.56 | 도달  807 | 차단 1195
Ep 209 | 배송 30/50 | 재적재 5 | 도착  38 | 2홉+ 0.61 | 도달  720 | 차단 1094
Ep 210 | 배송 30/50 | 재적재 3 | 도착  33 | 2홉+ 0.62 | 도달  797 | 차단 1329
Ep 211 | 배송 38/50 | 재적재 7 | 도착  45 | 2홉+ 0.61 | 도달  836 | 차단  591
Ep 212 | 배송 31/50 | 재적재 5 | 도착  36 | 2홉+ 0.56 | 도달  726 | 차단 1179
Ep 213 | 배송 31/50 | 재적재 4 | 도착  34 | 2홉+ 0.61 | 도달  809 | 차단  904
Ep 214 | 배송 33/50 | 재적재 5 | 도착  36 | 2홉+ 0.67 | 도달  892 | 차단  992
Ep 215 | 배송 35/50 | 재적재 5 | 도착  39 | 2홉+ 0.59 | 도달  777 | 차단  794
Ep 216 | 배송 31/50 | 재적재 4 | 도착  34 | 2홉+ 0.59 | 도달  771 | 차단  565
Ep 217 | 배송 37/50 | 재적재 6 | 도착  44 | 2홉+ 0.59 | 도달  949 | 차단  547
Ep 218 | 배송 31/50 | 재적재 4 | 도착  36 | 2홉+ 0.67 | 도달  844 | 차단 1732
