/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=2 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.997 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 184 |  3557스텝 | 배송 31/50 | 재적재  4 | 정지 0.06 교착최장   6 | no_progress
Ep 185 |  6480스텝 | 배송 45/50 | 재적재  7 | 정지 0.08 교착최장   9 | no_progress
Ep 186 |  4202스텝 | 배송 39/50 | 재적재  6 | 정지 0.12 교착최장  13 | no_progress
Ep 187 |  4817스텝 | 배송 39/50 | 재적재  6 | 정지 0.19 교착최장  12 | no_progress
Ep 188 |  4450스텝 | 배송 37/50 | 재적재  6 | 정지 0.14 교착최장  21 | no_progress
Ep 189 |  2794스텝 | 배송 32/50 | 재적재  6 | 정지 0.14 교착최장  11 | no_progress
Ep 190 |  3489스텝 | 배송 38/50 | 재적재  5 | 정지 0.12 교착최장  10 | no_progress
Ep 191 |  4904스텝 | 배송 42/50 | 재적재  6 | 정지 0.16 교착최장  24 | no_progress
Ep 192 |  4086스텝 | 배송 44/50 | 재적재  7 | 정지 0.15 교착최장  11 | no_progress
Ep 193 |  3046스텝 | 배송 34/50 | 재적재  6 | 정지 0.13 교착최장   6 | no_progress
Ep 194 |  4301스텝 | 배송 40/50 | 재적재  8 | 정지 0.05 교착최장   7 | no_progress
Ep 195 |  7053스텝 | 배송 45/50 | 재적재  8 | 정지 0.14 교착최장  16 | no_progress
Ep 196 |  3823스텝 | 배송 37/50 | 재적재  6 | 정지 0.12 교착최장  36 | no_progress
Ep 197 |  3973스텝 | 배송 38/50 | 재적재  5 | 정지 0.11 교착최장  13 | no_progress
Ep 198 |  5665스텝 | 배송 43/50 | 재적재  7 | 정지 0.15 교착최장  16 | no_progress
Ep 199 |  2573스텝 | 배송 31/50 | 재적재  5 | 정지 0.13 교착최장  10 | no_progress
Ep 200 |  3377스텝 | 배송 38/50 | 재적재  6 | 정지 0.13 교착최장  17 | no_progress
  [홀드아웃] 배송 9.5±10.1 재적재 0.9 2홉+ 0.17 | 최고 19.0@ep50 정체 3/15
Ep 201 |  2468스텝 | 배송 30/50 | 재적재  5 | 정지 0.09 교착최장   6 | no_progress
Ep 202 |  3919스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장   9 | no_progress
Ep 203 |  6067스텝 | 배송 43/50 | 재적재  7 | 정지 0.12 교착최장   5 | no_progress
Ep 204 |  2785스텝 | 배송 30/50 | 재적재  6 | 정지 0.07 교착최장   6 | no_progress
Ep 205 |  3992스텝 | 배송 44/50 | 재적재  7 | 정지 0.15 교착최장  19 | no_progress
Ep 206 |  6710스텝 | 배송 42/50 | 재적재  7 | 정지 0.25 교착최장  70 | no_progress
Ep 207 |  4895스텝 | 배송 36/50 | 재적재  5 | 정지 0.15 교착최장  17 | no_progress
Ep 208 |  3108스텝 | 배송 35/50 | 재적재  4 | 정지 0.18 교착최장  19 | no_progress
