/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=20 시드=1 교착관측=True
상한=10000 교착한도=100 무배송한도=200 (초반 300ep까지 1000) gamma=0.99 미완료페널티=0.0
worker_obs=16 manager_obs=43 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_09_07_17_w/best_worker.pth
Ep 181 |  5817스텝 | 배송 45/50 | 재적재  8 | 정지 0.13 교착최장  19 | no_progress
Ep 182 |  4787스텝 | 배송 38/50 | 재적재  6 | 정지 0.13 교착최장  15 | no_progress
Ep 183 |  3694스텝 | 배송 40/50 | 재적재  6 | 정지 0.21 교착최장  63 | no_progress
Ep 184 |  4574스텝 | 배송 43/50 | 재적재  7 | 정지 0.13 교착최장  26 | no_progress
Ep 185 |  3609스텝 | 배송 38/50 | 재적재  6 | 정지 0.18 교착최장   8 | no_progress
Ep 186 |  6343스텝 | 배송 43/50 | 재적재  7 | 정지 0.20 교착최장  41 | no_progress
Ep 187 |  5176스텝 | 배송 42/50 | 재적재  7 | 정지 0.14 교착최장   7 | no_progress
Ep 188 |  3692스텝 | 배송 41/50 | 재적재  6 | 정지 0.12 교착최장 100 | deadlock
Ep 189 |  4883스텝 | 배송 36/50 | 재적재  6 | 정지 0.10 교착최장   8 | no_progress
Ep 190 |  5157스텝 | 배송 41/50 | 재적재  7 | 정지 0.13 교착최장  30 | no_progress
Ep 191 |  5597스텝 | 배송 44/50 | 재적재  8 | 정지 0.11 교착최장  13 | no_progress
Ep 192 |  3047스텝 | 배송 40/50 | 재적재  7 | 정지 0.15 교착최장  13 | no_progress
Ep 193 |  5760스텝 | 배송 43/50 | 재적재  7 | 정지 0.22 교착최장  66 | no_progress
Ep 194 |  5085스텝 | 배송 41/50 | 재적재  7 | 정지 0.16 교착최장  12 | no_progress
Ep 195 |  4818스텝 | 배송 40/50 | 재적재  7 | 정지 0.13 교착최장  23 | no_progress
Ep 196 |  3251스텝 | 배송 35/50 | 재적재  5 | 정지 0.17 교착최장  11 | no_progress
Ep 197 |  3517스텝 | 배송 42/50 | 재적재  7 | 정지 0.13 교착최장  16 | no_progress
Ep 198 |  4307스텝 | 배송 41/50 | 재적재  6 | 정지 0.21 교착최장  30 | no_progress
Ep 199 |  2897스텝 | 배송 32/50 | 재적재  4 | 정지 0.09 교착최장   8 | no_progress
Ep 200 |  5420스텝 | 배송 42/50 | 재적재  6 | 정지 0.23 교착최장  75 | no_progress
  [홀드아웃] 배송 7.8±9.5 재적재 0.6 2홉+ 0.18 | 최고 19.0@ep50 정체 3/15
Ep 201 |  5171스텝 | 배송 43/50 | 재적재  7 | 정지 0.15 교착최장  17 | no_progress
Ep 202 |  3409스텝 | 배송 39/50 | 재적재  5 | 정지 0.19 교착최장  20 | no_progress
Ep 203 |  4160스텝 | 배송 39/50 | 재적재  7 | 정지 0.14 교착최장  11 | no_progress
Ep 204 |  4480스텝 | 배송 38/50 | 재적재  4 | 정지 0.12 교착최장  11 | no_progress
Ep 205 |  5178스텝 | 배송 43/50 | 재적재  8 | 정지 0.12 교착최장  11 | no_progress
Ep 206 |  5187스텝 | 배송 42/50 | 재적재  6 | 정지 0.24 교착최장  30 | no_progress
Ep 207 |  5599스텝 | 배송 40/50 | 재적재  7 | 정지 0.17 교착최장  41 | no_progress
Ep 208 |  4135스텝 | 배송 41/50 | 재적재  7 | 정지 0.21 교착최장  32 | no_progress
Ep 209 |  3643스텝 | 배송 34/50 | 재적재  5 | 정지 0.30 교착최장 100 | deadlock
Ep 210 |  4754스텝 | 배송 40/50 | 재적재  7 | 정지 0.31 교착최장  47 | no_progress
Ep 211 |  5818스텝 | 배송 42/50 | 재적재  6 | 정지 0.21 교착최장  55 | no_progress
Ep 212 |  4896스텝 | 배송 42/50 | 재적재  8 | 정지 0.18 교착최장  17 | no_progress
Ep 213 |  2998스텝 | 배송 37/50 | 재적재  6 | 정지 0.41 교착최장  71 | no_progress
Ep 214 |  4506스텝 | 배송 40/50 | 재적재  5 | 정지 0.21 교착최장  23 | no_progress
Ep 215 |  3005스텝 | 배송 36/50 | 재적재  6 | 정지 0.12 교착최장   6 | no_progress
Ep 216 |  6532스텝 | 배송 47/50 | 재적재  8 | 정지 0.15 교착최장  26 | no_progress
Ep 217 |  4604스텝 | 배송 41/50 | 재적재  6 | 정지 0.18 교착최장  11 | no_progress
Ep 218 |  3724스텝 | 배송 42/50 | 재적재  6 | 정지 0.20 교착최장  39 | no_progress
Ep 219 |  3487스텝 | 배송 42/50 | 재적재  7 | 정지 0.23 교착최장  24 | no_progress
Ep 220 |  3617스텝 | 배송 42/50 | 재적재  7 | 정지 0.09 교착최장   7 | no_progress
Ep 221 |  4228스텝 | 배송 39/50 | 재적재  7 | 정지 0.15 교착최장  13 | no_progress
Ep 222 |  4261스텝 | 배송 41/50 | 재적재  6 | 정지 0.26 교착최장  47 | no_progress
Ep 223 |  4567스텝 | 배송 42/50 | 재적재  7 | 정지 0.21 교착최장  51 | no_progress
