/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
단계=manager 장치=cuda 반경=300.0 상위주기=10
worker_obs=16 manager_obs=40 state=66 상위행동=7
하위 가중치 로드: weights/v3_26_08_31_19_w_nocl/best_worker.pth
Ep 160 | 배송 28/50 | 재적재 3 | 도착  11 | 2홉+ 0.63 | 도달  860 | 차단  527
Ep 161 | 배송 33/50 | 재적재 5 | 도착  15 | 2홉+ 0.63 | 도달  810 | 차단  418
Ep 162 | 배송 23/50 | 재적재 2 | 도착   6 | 2홉+ 0.58 | 도달  756 | 차단  281
Ep 163 | 배송 25/50 | 재적재 3 | 도착  13 | 2홉+ 0.55 | 도달  694 | 차단  256
Ep 164 | 배송 23/50 | 재적재 2 | 도착   7 | 2홉+ 0.64 | 도달 1011 | 차단  906
Ep 165 | 배송 28/50 | 재적재 2 | 도착   7 | 2홉+ 0.62 | 도달  804 | 차단  367
Ep 166 | 배송 26/50 | 재적재 3 | 도착   9 | 2홉+ 0.61 | 도달  776 | 차단  232
Ep 167 | 배송 28/50 | 재적재 4 | 도착  11 | 2홉+ 0.56 | 도달  772 | 차단  396
Ep 168 | 배송 26/50 | 재적재 4 | 도착  10 | 2홉+ 0.60 | 도달  958 | 차단  685
Ep 169 | 배송 26/50 | 재적재 3 | 도착  12 | 2홉+ 0.53 | 도달  756 | 차단  275
Ep 170 | 배송 29/50 | 재적재 4 | 도착  12 | 2홉+ 0.66 | 도달  793 | 차단  617
Ep 171 | 배송 25/50 | 재적재 3 | 도착  14 | 2홉+ 0.64 | 도달  735 | 차단  431
Ep 172 | 배송 27/50 | 재적재 3 | 도착  10 | 2홉+ 0.66 | 도달 1038 | 차단  930
Ep 173 | 배송 28/50 | 재적재 3 | 도착   8 | 2홉+ 0.63 | 도달  974 | 차단  382
Ep 174 | 배송 27/50 | 재적재 3 | 도착  11 | 2홉+ 0.51 | 도달  871 | 차단  382
Ep 175 | 배송 28/50 | 재적재 5 | 도착  12 | 2홉+ 0.60 | 도달  724 | 차단  264
Ep 176 | 배송 29/50 | 재적재 4 | 도착  12 | 2홉+ 0.57 | 도달  828 | 차단  435
Ep 177 | 배송 25/50 | 재적재 3 | 도착  11 | 2홉+ 0.66 | 도달 1021 | 차단  587
Ep 178 | 배송 24/50 | 재적재 3 | 도착  13 | 2홉+ 0.57 | 도달  714 | 차단  120
Ep 179 | 배송 33/50 | 재적재 5 | 도착  17 | 2홉+ 0.57 | 도달  853 | 차단  604
Ep 180 | 배송 28/50 | 재적재 3 | 도착  11 | 2홉+ 0.55 | 도달  738 | 차단  340
Ep 181 | 배송 26/50 | 재적재 3 | 도착  14 | 2홉+ 0.57 | 도달  702 | 차단  275
Ep 182 | 배송 27/50 | 재적재 2 | 도착  13 | 2홉+ 0.63 | 도달  943 | 차단  702
Ep 183 | 배송 25/50 | 재적재 3 | 도착  12 | 2홉+ 0.64 | 도달  724 | 차단  750
Ep 184 | 배송 27/50 | 재적재 3 | 도착  12 | 2홉+ 0.61 | 도달  893 | 차단  344
Ep 185 | 배송 27/50 | 재적재 4 | 도착   7 | 2홉+ 0.60 | 도달  720 | 차단  316
Ep 186 | 배송 27/50 | 재적재 3 | 도착  13 | 2홉+ 0.61 | 도달  809 | 차단  493
Ep 187 | 배송 17/50 | 재적재 3 | 도착   6 | 2홉+ 0.62 | 도달  761 | 차단  668
Ep 188 | 배송 25/50 | 재적재 3 | 도착  12 | 2홉+ 0.56 | 도달  710 | 차단  352
Ep 189 | 배송 34/50 | 재적재 5 | 도착  14 | 2홉+ 0.62 | 도달 1074 | 차단  450
Ep 190 | 배송 25/50 | 재적재 2 | 도착  10 | 2홉+ 0.58 | 도달  829 | 차단  497
Ep 191 | 배송 30/50 | 재적재 4 | 도착  10 | 2홉+ 0.61 | 도달  806 | 차단  370
Ep 192 | 배송 27/50 | 재적재 3 | 도착  11 | 2홉+ 0.69 | 도달  728 | 차단  357
Ep 193 | 배송 24/50 | 재적재 3 | 도착  10 | 2홉+ 0.57 | 도달  695 | 차단  595
Ep 194 | 배송 26/50 | 재적재 4 | 도착  10 | 2홉+ 0.59 | 도달  779 | 차단  298
Ep 195 | 배송 24/50 | 재적재 2 | 도착   9 | 2홉+ 0.53 | 도달  801 | 차단  438
Ep 196 | 배송 28/50 | 재적재 4 | 도착  11 | 2홉+ 0.54 | 도달  846 | 차단  266
Ep 197 | 배송 27/50 | 재적재 4 | 도착   9 | 2홉+ 0.60 | 도달  976 | 차단  515
Ep 198 | 배송 29/50 | 재적재 4 | 도착  12 | 2홉+ 0.58 | 도달  813 | 차단  284
Ep 199 | 배송 29/50 | 재적재 4 | 도착  12 | 2홉+ 0.56 | 도달  787 | 차단  406
Ep 200 | 배송 30/50 | 재적재 3 | 도착  13 | 2홉+ 0.63 | 도달  901 | 차단  380
  [홀드아웃] 배송 23.1±5.6 재적재 1.8 2홉+ 0.60 | 최고 24.0@ep100 정체 2/15
Ep 201 | 배송 30/50 | 재적재 4 | 도착  15 | 2홉+ 0.60 | 도달  913 | 차단  398
Ep 202 | 배송 29/50 | 재적재 4 | 도착  12 | 2홉+ 0.64 | 도달  790 | 차단  211
Ep 203 | 배송 18/50 | 재적재 0 | 도착   5 | 2홉+ 0.70 | 도달 1025 | 차단 1268
Ep 204 | 배송 29/50 | 재적재 5 | 도착  15 | 2홉+ 0.53 | 도달  861 | 차단  393
Ep 205 | 배송 27/50 | 재적재 4 | 도착  10 | 2홉+ 0.60 | 도달  710 | 차단  210
Ep 206 | 배송 28/50 | 재적재 5 | 도착  18 | 2홉+ 0.62 | 도달  743 | 차단  462
Ep 207 | 배송 30/50 | 재적재 3 | 도착  15 | 2홉+ 0.63 | 도달  967 | 차단  648
Ep 208 | 배송 27/50 | 재적재 3 | 도착  11 | 2홉+ 0.58 | 도달  756 | 차단  737
Ep 209 | 배송 35/50 | 재적재 5 | 도착  17 | 2홉+ 0.61 | 도달  875 | 차단  553
Ep 210 | 배송 31/50 | 재적재 3 | 도착  10 | 2홉+ 0.65 | 도달  787 | 차단  252
Ep 211 | 배송 29/50 | 재적재 4 | 도착  17 | 2홉+ 0.56 | 도달  766 | 차단  575
Ep 212 | 배송 30/50 | 재적재 4 | 도착  15 | 2홉+ 0.65 | 도달  958 | 차단  744
Ep 213 | 배송 30/50 | 재적재 3 | 도착  15 | 2홉+ 0.63 | 도달  840 | 차단  631
Ep 214 | 배송 27/50 | 재적재 2 | 도착   9 | 2홉+ 0.67 | 도달 1062 | 차단 1326
Ep 215 | 배송 28/50 | 재적재 5 | 도착  12 | 2홉+ 0.55 | 도달  871 | 차단  386
