/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300v_base
설정: relay_w=0.0 alpha_min=0.0 relay_credit=False n_peers=2 comm_range=300.0 action_mode=vector
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 155 | Step 1000 | R   101.73 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  875 | 차단 2722
Ep 156 | Step 1000 | R   179.04 | 배송 18/50 | 미활동 0 | 2홉+ 0.54 | 도달  635 | 차단 1314
Ep 157 | Step 1000 | R    83.29 | 배송 15/50 | 미활동 0 | 2홉+ 0.73 | 도달 1074 | 차단 2532
Ep 158 | Step 1000 | R    51.92 | 배송 12/50 | 미활동 0 | 2홉+ 0.68 | 도달 1060 | 차단 2724
Ep 159 | Step 1000 | R   227.05 | 배송 22/50 | 미활동 0 | 2홉+ 0.47 | 도달  646 | 차단  896
Ep 160 | Step 1000 | R   210.12 | 배송 19/50 | 미활동 0 | 2홉+ 0.63 | 도달  607 | 차단 1683
Ep 161 | Step 1000 | R   317.13 | 배송 24/50 | 미활동 0 | 2홉+ 0.65 | 도달  779 | 차단 1253
Ep 162 | Step 1000 | R   140.37 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달  958 | 차단 2125
Ep 163 | Step 1000 | R   302.04 | 배송 26/50 | 미활동 0 | 2홉+ 0.52 | 도달  735 | 차단 1282
Ep 164 | Step 1000 | R   139.90 | 배송 17/50 | 미활동 0 | 2홉+ 0.62 | 도달  970 | 차단 1420
Ep 165 | Step 1000 | R   357.54 | 배송 25/50 | 미활동 0 | 2홉+ 0.57 | 도달  846 | 차단 1165
Ep 166 | Step 1000 | R   205.94 | 배송 21/50 | 미활동 0 | 2홉+ 0.54 | 도달  671 | 차단 1662
Ep 167 | Step 1000 | R    79.19 | 배송 12/50 | 미활동 1 | 2홉+ 0.60 | 도달  601 | 차단 1658
Ep 168 | Step 1000 | R   165.28 | 배송 19/50 | 미활동 0 | 2홉+ 0.53 | 도달  914 | 차단 1468
Ep 169 | Step 1000 | R   277.57 | 배송 24/50 | 미활동 0 | 2홉+ 0.66 | 도달  834 | 차단 1479
Ep 170 | Step 1000 | R   338.58 | 배송 25/50 | 미활동 0 | 2홉+ 0.61 | 도달  868 | 차단  752
Ep 171 | Step 1000 | R   327.48 | 배송 23/50 | 미활동 0 | 2홉+ 0.54 | 도달  970 | 차단 1107
Ep 172 | Step 1000 | R   327.19 | 배송 22/50 | 미활동 0 | 2홉+ 0.48 | 도달  656 | 차단  945
Ep 173 | Step 1000 | R   358.62 | 배송 25/50 | 미활동 0 | 2홉+ 0.47 | 도달  830 | 차단 1141
Ep 174 | Step 1000 | R   152.70 | 배송 17/50 | 미활동 0 | 2홉+ 0.56 | 도달  773 | 차단 1979
Ep 175 | Step 1000 | R   345.09 | 배송 26/50 | 미활동 0 | 2홉+ 0.55 | 도달  848 | 차단 1094
Ep 176 | Step 1000 | R   321.48 | 배송 26/50 | 미활동 0 | 2홉+ 0.65 | 도달  867 | 차단 1798
Ep 177 | Step 1000 | R   237.96 | 배송 21/50 | 미활동 0 | 2홉+ 0.60 | 도달  839 | 차단 1263
Ep 178 | Step 1000 | R   299.12 | 배송 24/50 | 미활동 0 | 2홉+ 0.46 | 도달  808 | 차단 1501
Ep 179 | Step 1000 | R   229.54 | 배송 18/50 | 미활동 0 | 2홉+ 0.26 | 도달  743 | 차단  246
Ep 180 | Step 1000 | R   287.49 | 배송 20/50 | 미활동 0 | 2홉+ 0.50 | 도달  795 | 차단 1833
