/home/kopt/enter/envs/wsl_neuroMCTS/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.10.19)
Hello from the pygame community. https://www.pygame.org/contribute.html
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
지도를 성공적으로 로드했습니다: /home/kopt/drone/proposed_src/util/disaster_map.npy
Using device: cuda  tag=v2_26_08_25_14_c300v_relay
설정: relay_w=0.0 alpha_min=0.0 relay_credit=True n_peers=2 comm_range=300.0 action_mode=vector
obs_dim=19, state_dim=66, total_act_dim=8
조기 종료: 50ep마다 홀드아웃 6개 평가, patience=15회
Ep 141 | Step 1000 | R   103.59 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  982 | 차단 2660
Ep 142 | Step 1000 | R    92.36 | 배송 16/50 | 미활동 0 | 2홉+ 0.60 | 도달  933 | 차단 2453
Ep 143 | Step 1000 | R   151.66 | 배송 17/50 | 미활동 0 | 2홉+ 0.68 | 도달  949 | 차단 1048
Ep 144 | Step 1000 | R    81.19 | 배송 14/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단 2286
Ep 145 | Step 1000 | R   117.50 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  936 | 차단 2160
Ep 146 | Step 1000 | R    56.24 | 배송 13/50 | 미활동 0 | 2홉+ 0.73 | 도달  807 | 차단 2888
Ep 147 | Step 1000 | R   124.82 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  966 | 차단 1948
Ep 148 | Step 1000 | R     7.81 | 배송 10/50 | 미활동 1 | 2홉+ 0.72 | 도달  697 | 차단 3446
Ep 149 | Step 1000 | R   155.06 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달 1058 | 차단 1589
Ep 150 | Step 1000 | R   110.45 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1074 | 차단 2470
  [홀드아웃] 배송 3.2±2.2 미활동 1.83 2홉+ 0.49 도달 679 | 최고 8.7@ep50 | 정체 2/15
Ep 151 | Step 1000 | R    75.27 | 배송 15/50 | 미활동 0 | 2홉+ 0.69 | 도달  868 | 차단 2860
Ep 152 | Step 1000 | R   130.74 | 배송 19/50 | 미활동 0 | 2홉+ 0.71 | 도달 1003 | 차단 2112
Ep 153 | Step 1000 | R   104.27 | 배송 16/50 | 미활동 0 | 2홉+ 0.70 | 도달  847 | 차단 2516
Ep 154 | Step 1000 | R    84.47 | 배송 15/50 | 미활동 0 | 2홉+ 0.72 | 도달  850 | 차단 2348
Ep 155 | Step 1000 | R   146.32 | 배송 17/50 | 미활동 0 | 2홉+ 0.69 | 도달  776 | 차단 2166
Ep 156 | Step 1000 | R    81.79 | 배송 14/50 | 미활동 0 | 2홉+ 0.70 | 도달  761 | 차단 2371
Ep 157 | Step 1000 | R    91.13 | 배송 16/50 | 미활동 0 | 2홉+ 0.69 | 도달  842 | 차단 2738
Ep 158 | Step 1000 | R    66.12 | 배송 13/50 | 미활동 0 | 2홉+ 0.70 | 도달 1011 | 차단 2583
Ep 159 | Step 1000 | R   106.26 | 배송 17/50 | 미활동 0 | 2홉+ 0.55 | 도달  899 | 차단 2335
Ep 160 | Step 1000 | R    95.37 | 배송 15/50 | 미활동 0 | 2홉+ 0.71 | 도달  878 | 차단 2151
Ep 161 | Step 1000 | R    92.30 | 배송 15/50 | 미활동 0 | 2홉+ 0.63 | 도달  882 | 차단 2024
Ep 162 | Step 1000 | R   123.69 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달 1028 | 차단 1661
Ep 163 | Step 1000 | R    70.32 | 배송 13/50 | 미활동 0 | 2홉+ 0.72 | 도달  800 | 차단 2450
Ep 164 | Step 1000 | R   142.98 | 배송 17/50 | 미활동 0 | 2홉+ 0.72 | 도달  985 | 차단 1355
Ep 165 | Step 1000 | R   126.93 | 배송 17/50 | 미활동 0 | 2홉+ 0.63 | 도달  963 | 차단 2104
Ep 166 | Step 1000 | R    11.75 | 배송  9/50 | 미활동 1 | 2홉+ 0.71 | 도달  670 | 차단 3026
Ep 167 | Step 1000 | R   223.19 | 배송 23/50 | 미활동 0 | 2홉+ 0.68 | 도달  894 | 차단 1785
Ep 168 | Step 1000 | R   109.08 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  959 | 차단 1732
Ep 169 | Step 1000 | R    86.04 | 배송 15/50 | 미활동 0 | 2홉+ 0.70 | 도달  695 | 차단 2610
Ep 170 | Step 1000 | R   164.68 | 배송 20/50 | 미활동 0 | 2홉+ 0.67 | 도달  843 | 차단 1190
Ep 171 | Step 1000 | R   264.31 | 배송 22/50 | 미활동 0 | 2홉+ 0.62 | 도달  847 | 차단 1319
Ep 172 | Step 1000 | R    71.97 | 배송 14/50 | 미활동 0 | 2홉+ 0.69 | 도달  793 | 차단 2779
Ep 173 | Step 1000 | R   302.55 | 배송 22/50 | 미활동 0 | 2홉+ 0.61 | 도달  906 | 차단 1409
Ep 174 | Step 1000 | R   173.55 | 배송 20/50 | 미활동 0 | 2홉+ 0.70 | 도달  908 | 차단  988
Ep 175 | Step 1000 | R   177.19 | 배송 18/50 | 미활동 0 | 2홉+ 0.65 | 도달  914 | 차단 1854
Ep 176 | Step 1000 | R   159.49 | 배송 16/50 | 미활동 0 | 2홉+ 0.68 | 도달  962 | 차단 1837
